off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
104,70,.543,44,2011-12,20,SAS,199,507,404,1534,SF,223,regular,85,24,64
63,93,.556,62,2012-13,21,SAS,260,689,526,1810,SF,283,regular,97,32,58
76,133,.576,80,2013-14,22,SAS,337,844,645,1923,SF,336,regular,114,50,66
85,161,.520,97,2014-15,23,SAS,394,1057,822,2033,SF,376,regular,148,48,64
95,186,.565,105,2015-16,24,SAS,551,1523,1090,2380,SF,398,regular,128,71,72
80,260,.541,154,2016-17,25,SAS,636,1888,1312,2474,SF,350,regular,133,55,74
18,8,.600,13,2011-12,20,SAS,45,121,90,379,SF,65,playoffs,17,6,14
50,22,.600,23,2012-13,21,SAS,115,284,211,775,SF,140,playoffs,37,11,21
31,38,.575,29,2013-14,22,SAS,122,328,239,736,SF,124,playoffs,39,14,23
13,18,.528,15,2014-15,23,SAS,52,142,109,250,SF,39,playoffs,8,4,7
14,28,.551,16,2015-16,24,SAS,83,225,166,339,SF,49,playoffs,26,14,10
19,55,.587,26,2016-17,25,SAS,106,332,202,429,SF,74,playoffs,20,6,12
