off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
145,84,.615,125,2007-08,23,BOS,214,542,348,1912,C,329,regular,31,114,78
204,96,.577,165,2008-09,24,BOS,276,648,478,2253,C,415,regular,22,150,76
155,80,.602,165,2009-10,25,BOS,314,791,522,2154,C,440,regular,26,132,78
62,26,.515,56,2010-11,26,TOT,67,174,130,742,C,170,regular,9,26,29
23,10,.542,25,2010-11,26,BOS,32,87,59,313,C,74,regular,2,10,12
39,16,.493,31,2010-11,26,OKC,35,87,71,429,C,96,regular,7,16,17
120,78,.489,118,2011-12,27,OKC,128,329,262,1744,C,306,regular,25,73,65
110,111,.457,109,2012-13,28,OKC,143,330,313,1954,C,356,regular,43,83,78
82,67,.451,90,2013-14,29,OKC,87,211,193,1207,C,223,regular,26,32,62
91,51,.449,95,2014-15,30,TOT,102,246,227,1148,C,229,regular,16,42,68
80,43,.441,74,2014-15,30,OKC,82,202,186,981,C,199,regular,14,38,51
11,8,.488,21,2014-15,30,CLE,20,44,41,167,C,30,regular,2,4,17
25,31,.533,41,2015-16,31,NOP,40,91,75,542,C,103,regular,11,11,37
52,13,.585,31,2007-08,23,BOS,62,164,106,631,C,101,playoffs,15,32,25
51,20,.575,33,2008-09,24,BOS,73,166,127,512,C,111,playoffs,6,37,14
41,22,.510,43,2009-10,25,BOS,49,131,96,575,C,102,playoffs,9,32,23
37,13,.453,27,2010-11,26,OKC,29,77,64,479,C,66,playoffs,4,13,17
35,13,.416,29,2011-12,27,OKC,37,94,89,517,C,89,playoffs,7,25,20
15,7,.263,23,2012-13,28,OKC,10,24,38,210,C,26,playoffs,8,5,11
33,14,.533,25,2013-14,29,OKC,24,60,45,384,C,69,playoffs,4,6,19
2,0,.250,4,2014-15,30,CLE,2,10,8,33,C,7,playoffs,0,3,8
