off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
105,90,.539,91,2007-08,30,DEN,376,877,699,2159,PF,356,regular,88,85,71
81,132,.502,104,2008-09,31,DEN,318,769,648,2111,PF,314,regular,96,74,66
142,109,.463,91,2009-10,32,DEN,283,667,620,1986,PF,404,regular,72,61,58
67,109,.514,59,2010-11,33,DEN,185,414,362,1233,PF,230,regular,43,35,48
49,18,.448,32,2011-12,34,LAC,97,217,220,940,PF,132,regular,44,43,42
34,8,.602,16,2012-13,35,NYK,56,129,93,431,C,61,regular,16,17,18
36,50,.512,26,2013-14,36,NYK,63,137,123,633,PF,98,regular,25,27,32
6,5,.409,3,2014-15,37,MIL,9,20,22,104,PF,13,regular,5,6,11
13,5,.441,9,2007-08,30,DEN,15,35,34,118,PF,12,playoffs,4,2,4
24,34,.500,26,2008-09,31,DEN,75,174,151,538,PF,70,playoffs,18,14,16
14,8,.480,11,2009-10,32,DEN,24,60,50,205,PF,36,playoffs,9,7,6
6,8,.480,7,2010-11,33,DEN,24,59,50,148,PF,33,playoffs,2,2,5
11,3,.524,4,2011-12,34,LAC,22,49,42,193,PF,24,playoffs,4,19,11
16,11,.580,8,2012-13,35,NYK,29,69,50,253,C,38,playoffs,9,17,12
