off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
70,192,.451,232,2007-08,19,SEA,587,1624,1366,2768,SG,278,regular,78,75,80
77,205,.510,225,2008-09,20,OKC,661,1871,1390,2885,SF,405,regular,96,53,74
105,231,.514,271,2009-10,21,OKC,794,2472,1668,3239,SF,518,regular,112,84,82
57,214,.509,218,2010-11,22,OKC,711,2161,1538,3038,SF,476,regular,88,76,78
40,231,.547,248,2011-12,23,OKC,643,1850,1297,2546,SF,487,regular,88,77,66
46,374,.559,280,2012-13,24,OKC,731,2280,1433,3119,SF,594,regular,116,105,81
58,445,.560,285,2013-14,25,OKC,849,2593,1688,3122,SF,540,regular,103,59,81
16,110,.578,74,2014-15,26,OKC,238,686,467,913,SF,162,regular,24,25,27
45,361,.573,250,2015-16,27,OKC,698,2029,1381,2578,SF,544,regular,69,85,72
39,300,.594,138,2016-17,28,GSW,551,1555,1026,2070,PF,474,regular,66,99,62
8,14,.390,22,2009-10,21,OKC,43,150,123,231,SF,38,playoffs,3,8,6
18,48,.503,42,2010-11,22,OKC,155,487,345,722,SF,121,playoffs,16,19,17
13,74,.570,63,2011-12,23,OKC,198,570,383,837,SF,135,playoffs,29,24,20
7,69,.500,43,2012-13,24,OKC,112,339,246,485,SF,92,playoffs,14,12,11
25,75,.511,72,2013-14,25,OKC,194,563,422,815,SF,145,playoffs,19,25,19
13,60,.468,65,2015-16,27,OKC,175,511,407,726,SF,115,playoffs,18,18,18
16,64,.627,38,2016-17,28,GSW,149,428,268,533,PF,103,playoffs,12,20,15
