off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
135,244,.539,138,2007-08,31,BOS,534,1337,990,2328,PF,520,regular,100,89,71
78,144,.532,90,2008-09,32,BOS,393,899,740,1772,PF,407,regular,63,68,57
78,185,.521,101,2009-10,33,BOS,402,990,772,2060,PF,428,regular,68,57,69
83,171,.529,115,2010-11,34,BOS,434,1056,822,2220,PF,548,regular,95,57,71
66,175,.505,107,2011-12,35,BOS,391,947,777,1864,C,428,regular,56,61,60
75,159,.498,110,2012-13,36,BOS,422,1004,850,2022,C,455,regular,78,62,68
60,82,.441,69,2013-14,37,BRK,157,352,356,1109,C,298,regular,43,40,54
48,77,.469,46,2014-15,38,TOT,143,323,306,952,PF,263,regular,46,17,47
46,69,.456,45,2014-15,38,BRK,125,285,275,854,PF,239,regular,41,13,42
2,8,.581,1,2014-15,38,MIN,18,38,31,98,PF,24,regular,5,4,5
15,62,.470,16,2015-16,39,MIN,54,122,115,556,PF,135,regular,28,10,38
72,87,.498,55,2007-08,31,BOS,217,530,438,987,PF,202,playoffs,35,29,26
32,58,.495,31,2009-10,33,BOS,149,345,301,766,PF,138,playoffs,26,20,23
21,23,.441,19,2010-11,34,BOS,56,134,127,328,PF,77,playoffs,17,9,9
31,30,.498,44,2011-12,35,BOS,159,384,320,737,C,175,playoffs,23,29,20
9,21,.500,19,2012-13,36,BOS,30,76,60,212,C,73,playoffs,5,6,6
19,16,.524,13,2013-14,37,BRK,33,83,63,250,C,57,playoffs,9,5,12
