off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
274,84,.461,118,2008-09,20,MIN,316,899,688,2048,C,460,regular,35,50,81
227,136,.478,117,2009-10,21,MIN,291,842,646,1714,PF,431,regular,43,23,60
330,184,.513,155,2010-11,22,MIN,482,1476,1026,2611,PF,782,regular,45,28,73
226,111,.497,128,2011-12,23,MIN,474,1432,1059,2145,PF,508,regular,47,28,55
64,42,.386,39,2012-13,24,MIN,105,330,298,618,PF,188,regular,13,9,18
224,341,.524,196,2013-14,25,MIN,650,2010,1421,2797,PF,739,regular,59,35,77
142,168,.509,122,2014-15,26,CLE,413,1228,952,2532,PF,589,regular,51,39,75
149,186,.499,142,2015-16,27,CLE,409,1234,977,2424,PF,613,regular,58,41,77
148,116,.510,122,2016-17,28,CLE,370,1142,867,1885,PF,518,regular,53,21,60
6,10,.524,6,2014-15,26,CLE,17,57,41,107,PF,22,playoffs,1,2,4
34,42,.481,27,2015-16,27,CLE,92,293,239,613,PF,141,playoffs,9,8,20
36,30,.550,31,2016-17,28,CLE,95,303,218,578,PF,155,playoffs,21,16,18
