off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
50,20,.508,26,2008-09,19,UTA,94,224,185,565,C,88,regular,12,31,48
16,6,.468,15,2009-10,20,UTA,22,53,47,172,C,29,regular,2,4,36
57,7,.453,31,2010-11,21,TOT,68,160,150,434,C,73,regular,10,25,50
42,7,.435,25,2010-11,21,MIN,47,106,108,336,C,55,regular,8,20,39
15,0,.500,6,2010-11,21,DEN,21,54,42,98,C,18,regular,2,5,11
95,15,.599,33,2011-12,22,DEN,115,263,192,792,C,163,regular,24,41,48
211,32,.581,53,2012-13,23,DEN,295,648,508,1817,C,351,regular,44,103,81
160,39,.495,67,2013-14,24,MEM,227,514,459,1349,C,258,regular,32,71,80
121,37,.508,69,2014-15,25,MEM,182,419,358,1348,C,305,regular,29,63,81
169,33,.532,48,2015-16,26,SAC,236,529,444,1482,C,254,regular,40,70,78
118,47,.551,61,2016-17,27,SAC,216,470,392,1419,C,285,regular,36,48,71
4,0,.400,2,2009-10,20,UTA,4,8,10,31,C,5,playoffs,0,1,9
0,0,1.000,0,2010-11,21,DEN,1,2,1,2,C,0,playoffs,0,0,1
4,0,.333,3,2011-12,22,DEN,1,2,3,26,C,7,playoffs,0,1,3
9,3,.395,2,2012-13,23,DEN,7,20,19,100,C,12,playoffs,3,4,6
7,2,.438,3,2013-14,24,MEM,7,18,16,45,C,8,playoffs,2,3,7
19,4,.548,1,2014-15,25,MEM,17,37,31,127,C,20,playoffs,4,6,11
