off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
21,101,.540,75,2007-08,26,TOT,255,740,575,1732,SG-PF,151,regular,42,29,75
12,33,.480,28,2007-08,26,PHI,90,249,227,657,PF,61,regular,20,6,25
9,68,.579,47,2007-08,26,UTA,165,491,348,1075,SG,90,regular,22,23,50
35,137,.529,90,2008-09,27,UTA,245,705,560,1874,SF,223,regular,47,30,78
10,89,.598,42,2009-10,28,UTA,138,374,280,952,SG,101,regular,26,12,52
12,124,.542,60,2010-11,29,CHI,242,681,557,1649,SG,138,regular,35,20,82
26,112,.575,53,2011-12,30,CHI,178,529,412,1469,SG,133,regular,36,15,65
23,146,.618,70,2012-13,31,ATL,277,810,601,2259,SF,270,regular,70,37,74
22,208,.626,102,2013-14,32,ATL,289,850,609,2408,SG,260,regular,70,24,71
15,196,.671,107,2014-15,33,ATL,292,911,600,2418,SG,289,regular,52,42,75
14,164,.563,98,2015-16,34,ATL,268,739,616,2401,SG,246,regular,60,35,80
7,110,.621,69,2016-17,35,TOT,239,678,515,1753,SG,179,regular,34,21,67
0,75,.571,40,2016-17,35,ATL,108,305,246,894,SG,89,regular,23,13,32
7,35,.667,29,2016-17,35,CLE,131,373,269,859,SG,90,regular,11,8,35
5,7,.486,8,2007-08,26,UTA,30,94,73,259,SG,21,playoffs,4,8,12
2,13,.522,2,2008-09,27,UTA,18,53,46,136,SF,9,playoffs,3,1,5
0,13,.615,7,2009-10,28,UTA,32,83,61,210,SG,11,playoffs,5,0,10
1,17,.500,16,2010-11,29,CHI,38,105,98,276,SG,18,playoffs,8,3,16
1,9,.500,5,2011-12,30,CHI,9,23,22,94,SG,9,playoffs,3,3,6
0,4,.510,6,2012-13,31,ATL,19,61,49,177,SF,20,playoffs,2,4,6
2,5,.629,11,2013-14,32,ATL,30,94,66,250,SG,35,playoffs,4,2,7
1,33,.538,21,2014-15,33,ATL,52,156,133,526,SG,69,playoffs,20,15,14
3,10,.627,8,2015-16,34,ATL,35,103,75,316,SG,45,playoffs,9,4,10
2,13,.594,7,2016-17,35,CLE,34,105,80,326,SG,28,playoffs,7,5,18
