off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
220,122,.484,126,2007-08,22,POR,561,1350,1160,2649,PF,358,regular,55,94,76
234,157,.486,121,2008-09,23,POR,601,1470,1243,3004,PF,371,regular,77,77,81
192,160,.497,104,2009-10,24,POR,579,1393,1169,2922,PF,435,regular,67,48,78
278,170,.501,153,2010-11,25,POR,707,1769,1415,3211,PF,431,regular,82,94,81
150,134,.513,111,2011-12,26,POR,483,1191,943,1994,PF,292,regular,51,45,55
175,192,.485,143,2012-13,27,POR,638,1560,1318,2790,PF,495,regular,62,91,74
166,178,.459,123,2013-14,28,POR,652,1603,1423,2498,PF,599,regular,63,68,69
177,124,.479,122,2014-15,29,POR,659,1661,1415,2512,PF,549,regular,48,68,71
176,110,.513,99,2015-16,30,SAS,536,1331,1045,2261,PF,456,regular,38,81,74
172,139,.488,98,2016-17,31,SAS,500,1243,1049,2335,PF,351,regular,46,88,72
9,8,.495,10,2008-09,23,POR,51,117,104,237,PF,36,playoffs,3,10,6
10,13,.435,11,2009-10,24,POR,40,114,93,229,PF,26,playoffs,7,11,6
16,8,.461,9,2010-11,25,POR,53,125,115,258,PF,29,playoffs,8,10,6
30,16,.456,19,2013-14,28,POR,113,288,250,441,PF,87,playoffs,7,18,11
21,9,.344,8,2014-15,29,POR,37,109,112,208,PF,35,playoffs,2,12,5
22,10,.527,11,2015-16,30,SAS,88,219,169,337,PF,61,playoffs,4,14,10
43,24,.463,28,2016-17,31,SAS,110,264,240,537,PF,76,playoffs,10,16,16
