off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
197,273,.544,156,2007-08,28,LAL,417,1094,795,2921,PF,622,regular,75,72,77
176,204,.516,138,2008-09,29,LAL,346,885,703,2316,PF,461,regular,77,98,78
184,267,.502,150,2009-10,30,LAL,342,882,739,2585,PF,618,regular,75,59,82
175,249,.568,139,2010-11,31,LAL,473,1180,893,2639,PF,535,regular,47,61,82
36,83,.393,52,2011-12,32,DAL,123,332,349,1027,SF,172,regular,20,18,50
117,142,.423,86,2012-13,33,LAC,146,330,366,1616,PF,363,regular,69,58,82
47,62,.498,47,2007-08,28,LAL,107,301,218,786,PF,162,playoffs,14,27,21
64,42,.568,39,2008-09,29,LAL,108,283,206,735,PF,146,playoffs,16,31,23
60,46,.495,28,2009-10,30,LAL,91,222,194,667,PF,138,playoffs,15,21,23
13,21,.480,15,2010-11,31,LAL,45,121,98,286,PF,52,playoffs,2,4,10
4,11,.450,10,2012-13,33,LAC,11,30,30,107,PF,19,playoffs,5,5,6
