off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
1,21,.333,16,2010-11,20,IND,13,37,39,115,SG,17,regular,4,0,12
12,46,.392,36,2011-12,21,IND,47,106,125,442,SG,41,regular,21,5,42
47,223,.512,109,2012-13,22,IND,275,687,598,2278,SG,257,regular,81,16,78
95,359,.540,210,2013-14,23,IND,427,1080,870,2752,SG,463,regular,54,7,78
39,240,.393,128,2014-15,24,CHO,207,501,550,1573,SG,238,regular,38,8,61
40,133,.513,94,2015-16,25,TOT,228,573,474,1372,SF,183,regular,43,9,69
19,60,.551,48,2015-16,25,LAC,82,204,166,680,SF,89,regular,24,3,43
21,73,.492,46,2015-16,25,MEM,146,369,308,692,SF,94,regular,19,6,26
4,59,.475,26,2016-17,26,TOT,54,122,120,361,SG,48,regular,5,3,18
3,29,.482,11,2016-17,26,NOP,26,58,55,162,SG,15,regular,2,1,6
0,5,.476,4,2016-17,26,MIN,10,21,21,67,SG,10,regular,0,0,6
1,25,.466,11,2016-17,26,IND,18,43,44,132,SG,23,regular,3,2,6
0,1,.278,2,2011-12,21,IND,2,6,9,12,SG,0,playoffs,0,0,4
14,63,.462,36,2012-13,22,IND,69,179,169,673,SG,130,playoffs,23,2,19
24,80,.509,46,2013-14,23,IND,100,259,220,705,SG,107,playoffs,16,4,19
1,7,.545,3,2015-16,25,MEM,23,52,44,95,SF,5,playoffs,1,0,4
1,11,.575,4,2016-17,26,IND,27,64,53,107,SG,20,playoffs,2,0,4
