off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
39,181,.423,116,2007-08,29,TOT,305,827,801,2020,PG-SG,191,regular,99,17,68
27,94,.422,72,2007-08,29,CLE,180,491,478,1210,PG,116,regular,60,11,40
12,87,.424,44,2007-08,29,CHI,125,336,323,810,SG,75,regular,39,6,28
16,119,.469,71,2008-09,30,TOT,224,640,557,1479,SF-SG,143,regular,72,14,55
6,59,.477,36,2008-09,30,CHI,127,361,308,792,SF,88,regular,36,9,30
10,60,.460,35,2008-09,30,NYK,97,279,249,687,SG,55,regular,36,5,25
23,137,.411,75,2009-10,31,TOT,137,411,386,1115,SG,119,regular,52,15,45
16,109,.416,56,2009-10,31,NYK,102,297,279,820,SG,94,regular,40,11,31
7,28,.397,19,2009-10,31,CHA,35,114,107,295,SG,25,regular,12,4,14
1,7,.250,12,2011-12,33,ORL,5,12,22,114,PG,4,regular,2,0,9
1,6,.588,3,2009-10,31,CHA,8,24,17,58,SG,12,playoffs,0,0,4
