off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
133,539,.518,255,2007-08,23,CLE,794,2250,1642,3027,SF,459,regular,138,81,75
106,587,.530,241,2008-09,24,CLE,789,2304,1613,3054,SF,507,regular,137,93,81
71,651,.545,261,2009-10,25,CLE,768,2258,1528,2966,SF,483,regular,125,77,76
80,554,.541,284,2010-11,26,MIA,758,2111,1485,3063,SF,510,regular,124,50,79
94,387,.554,213,2011-12,27,MIA,621,1683,1169,2326,SF,398,regular,115,50,62
97,551,.603,226,2012-13,28,MIA,765,2036,1354,2877,PF,513,regular,129,67,76
81,488,.610,270,2013-14,29,MIA,767,2089,1353,2902,PF,452,regular,121,26,77
51,511,.535,272,2014-15,30,CLE,624,1743,1279,2493,SF,365,regular,109,49,69
111,514,.551,249,2015-16,31,CLE,737,1920,1416,2709,SF,454,regular,104,49,76
97,646,.594,303,2016-17,32,CLE,736,1954,1344,2794,SF,542,regular,92,44,74
16,99,.444,54,2007-08,23,CLE,113,366,275,552,SF,86,playoffs,23,17,13
19,102,.553,38,2008-09,24,CLE,159,494,312,580,SF,109,playoffs,23,12,14
15,84,.550,42,2009-10,25,CLE,106,320,211,460,SF,87,playoffs,19,20,11
34,123,.507,66,2010-11,26,MIA,174,497,373,922,SF,142,playoffs,35,25,21
54,129,.522,81,2011-12,27,MIA,251,697,502,983,SF,170,playoffs,43,16,23
37,152,.532,70,2012-13,28,MIA,212,596,432,960,PF,156,playoffs,41,18,23
14,95,.616,61,2013-14,29,MIA,192,548,340,763,PF,127,playoffs,36,11,20
37,169,.440,82,2014-15,30,CLE,227,601,544,844,SF,189,playoffs,33,21,20
42,160,.564,75,2015-16,31,CLE,219,552,417,822,SF,158,playoffs,49,27,21
19,141,.622,72,2016-17,32,CLE,217,591,384,744,SF,145,playoffs,35,23,18
