off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
40,216,.543,117,2007-08,25,PHO,472,1283,1021,2421,SG,191,regular,75,18,82
34,162,.542,93,2008-09,26,PHO,366,993,759,1705,SG,147,regular,82,7,70
11,64,.485,46,2009-10,27,PHO,155,418,365,786,PG,58,regular,23,12,44
14,119,.505,84,2010-11,28,TOR,294,769,653,1395,SG,85,regular,50,6,58
33,96,.476,94,2011-12,29,TOT,271,708,637,1382,SG,95,regular,56,7,64
21,63,.480,68,2011-12,29,TOR,198,512,454,946,SG,58,regular,36,7,42
12,33,.467,26,2011-12,29,IND,73,196,183,436,SG,37,regular,20,0,22
8,58,.477,21,2012-13,30,BOS,83,215,193,513,PG,38,regular,17,6,41
5,32,.454,19,2013-14,31,PHO,56,150,131,368,PG,32,regular,7,4,20
23,99,.530,44,2014-15,32,GSW,183,467,386,982,SG,68,regular,41,8,66
28,82,.515,53,2015-16,33,GSW,171,433,370,1079,SG,89,regular,44,10,68
15,81,.483,48,2016-17,34,PHO,172,419,392,963,SG,89,regular,31,8,67
2,9,.382,4,2007-08,25,PHO,19,52,55,143,SG,18,playoffs,3,0,5
2,20,.476,15,2009-10,27,PHO,43,115,103,250,PG,19,playoffs,5,2,16
5,14,.390,13,2011-12,29,IND,27,63,73,223,SG,19,playoffs,5,1,11
8,18,.489,12,2014-15,32,GSW,39,104,88,229,SG,19,playoffs,6,1,21
11,15,.642,11,2015-16,33,GSW,51,129,88,254,SG,16,playoffs,11,1,23
