off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
85,218,.479,100,2007-08,27,LAL,215,535,478,1729,SF,206,regular,60,18,74
55,177,.464,69,2008-09,28,LAL,134,326,307,1166,SF,125,regular,32,10,65
12,40,.399,12,2009-10,29,LAL,30,69,84,272,SF,26,regular,10,1,29
9,62,.362,31,2010-11,30,LAL,38,91,116,484,SF,58,regular,9,4,54
13,35,.423,27,2011-12,31,TOT,24,55,65,364,PF-SF,36,regular,5,1,30
6,5,.429,2,2011-12,31,LAL,6,12,14,65,SF,8,regular,2,0,9
7,30,.422,25,2011-12,31,CLE,18,43,51,299,PF,28,regular,3,1,21
38,166,.448,60,2012-13,32,CLE,71,172,181,857,PF,107,regular,42,13,50
13,41,.510,20,2007-08,27,LAL,44,125,97,353,SF,42,playoffs,11,4,21
16,45,.460,20,2008-09,28,LAL,32,80,75,332,SF,36,playoffs,14,3,21
0,14,.348,4,2009-10,29,LAL,7,18,23,96,SF,8,playoffs,1,2,16
0,0,.000,2,2010-11,30,LAL,0,0,2,4,SF,1,playoffs,0,0,1
