off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
63,332,.540,200,2007-08,30,SAS,453,1442,984,2299,SG,291,regular,109,33,74
24,157,.524,88,2008-09,31,SAS,223,683,491,1181,SG,174,regular,64,16,44
68,370,.514,154,2009-10,32,SAS,398,1237,903,2150,SG,216,regular,103,24,75
42,393,.509,174,2010-11,33,SAS,441,1393,1018,2426,SG,253,regular,123,28,80
18,151,.618,64,2011-12,34,SAS,150,440,285,792,SG,98,regular,24,12,34
30,274,.502,132,2012-13,35,SAS,229,705,539,1393,SG,171,regular,80,13,60
30,293,.541,139,2013-14,36,SAS,294,838,627,1550,SG,172,regular,70,17,68
28,293,.502,154,2014-15,37,SAS,251,738,589,1587,SG,183,regular,67,20,70
26,177,.533,99,2015-16,38,SAS,197,555,435,1134,SG,120,regular,66,11,58
28,183,.491,96,2016-17,39,SAS,171,517,439,1291,SG,129,regular,82,16,69
14,67,.504,47,2007-08,30,SAS,98,303,232,559,SG,50,playoffs,10,5,17
4,60,.486,30,2009-10,32,SAS,58,194,140,352,SG,33,playoffs,26,2,10
2,21,.507,17,2010-11,33,SAS,31,103,70,174,SG,18,playoffs,13,3,5
8,56,.528,42,2011-12,34,SAS,65,201,145,390,SG,41,playoffs,10,4,14
9,105,.474,55,2012-13,35,SAS,77,242,193,560,SG,69,playoffs,24,6,21
9,95,.525,52,2013-14,36,SAS,104,330,237,586,SG,66,playoffs,36,2,23
4,32,.442,14,2014-15,37,SAS,15,56,43,131,SG,20,playoffs,4,6,7
6,25,.521,7,2015-16,38,SAS,20,67,47,192,SG,21,playoffs,8,3,10
10,39,.459,12,2016-17,39,SAS,40,106,97,284,SG,29,playoffs,16,2,16
