off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
201,143,.530,164,2008-09,24,MEM,350,975,661,2521,C,404,regular,63,90,82
208,165,.581,135,2009-10,25,MEM,378,1008,651,2469,C,432,regular,69,109,69
154,200,.529,146,2010-11,26,MEM,364,951,691,2586,C,415,regular,74,136,81
120,204,.483,121,2011-12,27,MEM,357,952,740,2370,C,459,regular,62,121,65
184,318,.494,157,2012-13,28,MEM,429,1127,869,2796,C,438,regular,80,139,80
84,215,.474,111,2013-14,29,MEM,336,859,711,1970,C,340,regular,59,76,59
115,307,.496,176,2014-15,30,MEM,530,1413,1072,2687,C,515,regular,70,131,81
58,196,.465,118,2015-16,31,MEM,328,861,707,1791,C,304,regular,50,70,52
60,338,.503,166,2016-17,32,MEM,532,1446,1160,2531,C,404,regular,67,99,74
41,29,.511,26,2010-11,26,MEM,72,195,141,519,C,105,playoffs,14,28,13
16,22,.522,13,2011-12,27,MEM,36,106,69,261,C,31,playoffs,2,13,7
25,48,.454,18,2012-13,28,MEM,93,258,205,609,C,102,playoffs,13,33,15
13,31,.405,12,2013-14,29,MEM,47,121,116,299,C,41,playoffs,12,6,7
19,49,.394,16,2014-15,30,MEM,71,217,180,416,C,94,playoffs,10,19,11
7,25,.512,15,2016-17,32,MEM,39,116,83,240,C,32,playoffs,2,4,6
