off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
8,2,.471,2,2007-08,23,ORL,8,18,17,41,C,8,regular,1,1,6
96,14,.570,25,2008-09,24,ORL,106,239,187,794,PF,190,regular,18,53,63
104,17,.533,46,2009-10,25,ORL,121,293,227,1088,C,237,regular,17,70,81
148,70,.561,81,2010-11,26,TOT,338,817,603,2032,C,483,regular,36,91,80
38,17,.543,17,2010-11,26,ORL,44,100,81,396,C,80,regular,7,21,25
110,53,.564,64,2010-11,26,PHO,294,717,522,1636,C,403,regular,29,70,55
185,59,.555,90,2011-12,27,PHO,427,1017,769,2114,C,474,regular,48,99,66
128,75,.521,99,2012-13,28,PHO,295,680,566,1876,C,388,regular,40,98,61
202,138,.542,126,2013-14,29,WAS,455,1068,840,2655,C,565,regular,41,121,81
180,97,.566,100,2014-15,30,WAS,439,1001,775,2453,C,537,regular,49,110,82
222,106,.567,121,2015-16,31,WAS,433,1012,764,2256,C,519,regular,47,96,75
238,121,.579,119,2016-17,32,WAS,390,883,674,2556,C,611,regular,40,61,82
2,0,.833,3,2007-08,23,ORL,5,10,6,48,C,6,playoffs,0,4,8
18,3,.654,11,2008-09,24,ORL,34,78,52,271,PF,58,playoffs,9,15,24
24,9,.654,3,2009-10,25,ORL,17,42,26,212,C,38,playoffs,3,4,14
36,16,.492,20,2013-14,29,WAS,58,143,118,382,C,73,playoffs,5,14,11
27,22,.628,16,2014-15,30,WAS,54,124,86,307,C,61,playoffs,6,11,10
52,24,.505,17,2016-17,32,WAS,47,105,93,409,C,91,playoffs,5,20,13
