off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
3,15,.473,12,2007-08,21,GSW,36,95,93,241,SG,11,regular,5,0,33
10,88,.524,59,2008-09,22,GSW,140,372,317,882,SG,61,regular,36,1,42
14,89,.485,60,2009-10,23,TOR,154,469,379,1121,SG,81,regular,42,5,66
17,92,.534,77,2010-11,24,NOH,302,836,691,1957,SG,134,regular,38,6,80
19,101,.495,69,2011-12,25,NOH,286,780,686,1966,SG,153,regular,48,5,66
13,148,.460,82,2012-13,26,CHI,241,702,610,1882,SG,127,regular,44,6,73
18,179,.576,95,2013-14,27,SAS,337,911,695,2016,SF,208,regular,50,7,80
26,94,.515,61,2014-15,28,SAS,199,568,470,1388,SG,131,regular,31,3,62
10,127,.457,80,2015-16,29,SAC,245,696,635,1672,SG,107,regular,37,2,68
14,147,.512,70,2016-17,30,CHO,264,780,615,1778,SG,164,regular,44,9,74
0,4,.429,4,2010-11,24,NOH,23,58,63,173,SG,5,playoffs,5,0,6
0,31,.486,15,2012-13,26,CHI,44,133,107,325,SG,35,playoffs,5,0,12
4,19,.525,12,2013-14,27,SAS,44,125,99,356,SF,48,playoffs,3,0,23
2,10,.692,5,2014-15,28,SAS,20,65,39,116,SG,11,playoffs,2,0,7
