off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
72,114,.517,76,2009-10,22,NOH,398,1057,883,1872,SG,139,regular,58,11,73
61,135,.488,93,2010-11,23,TOT,350,933,807,1775,SG,197,regular,64,9,73
25,43,.463,37,2010-11,23,NOH,137,359,334,745,SG,106,regular,19,4,46
36,92,.506,56,2010-11,23,SAC,213,574,473,1030,SG,91,regular,45,5,27
84,98,.505,84,2011-12,24,SAC,352,952,803,1780,SG,104,regular,71,12,51
50,91,.520,68,2012-13,25,SAC,332,916,774,1726,SG,131,regular,61,4,72
57,77,.480,67,2013-14,26,TOT,252,703,639,1741,SG,141,regular,58,11,72
39,47,.457,38,2013-14,26,SAC,142,383,373,1121,SG,85,regular,31,8,46
18,30,.511,29,2013-14,26,BRK,110,320,266,620,SG,56,regular,27,3,26
23,36,.484,27,2014-15,27,TOT,140,380,345,721,SG,63,regular,27,7,48
19,34,.502,22,2014-15,27,BOS,127,348,305,640,SG,54,regular,21,7,39
4,2,.350,5,2014-15,27,PHO,13,32,40,81,SG,9,regular,6,0,9
38,85,.482,51,2015-16,28,TOT,216,590,542,1109,SG,112,regular,47,4,61
31,66,.484,40,2015-16,28,HOU,174,472,435,885,SG,84,regular,34,3,47
7,19,.477,11,2015-16,28,WAS,42,118,107,224,SG,28,regular,13,1,14
22,41,.467,25,2016-17,29,WAS,84,219,210,575,SG,54,regular,19,3,33
7,1,.435,2,2013-14,26,BRK,21,59,54,124,SG,12,playoffs,2,1,10
