off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
37,403,.506,165,2008-09,22,MIA,278,818,662,2626,PG,191,regular,160,8,82
25,246,.483,123,2009-10,23,MIA,182,521,454,1807,PG,110,regular,91,12,73
12,177,.506,91,2010-11,24,MIA,155,447,388,1579,PG,134,regular,76,7,70
16,222,.549,142,2011-12,25,MIA,223,627,498,1825,PG,155,regular,97,11,64
19,273,.545,119,2012-13,26,MIA,227,666,529,2068,PG,152,regular,118,12,77
41,357,.531,162,2013-14,27,MIA,254,716,560,2178,PG,173,regular,119,16,73
24,307,.458,173,2014-15,28,MIA,267,813,663,2368,PG,182,regular,122,10,80
24,230,.462,110,2015-16,29,TOT,182,628,444,1373,PG,133,regular,88,13,61
1,19,.328,9,2015-16,29,MIA,10,33,32,120,PG,13,regular,8,1,6
23,211,.472,101,2015-16,29,MEM,172,595,412,1253,PG,120,regular,80,12,55
6,31,.460,17,2008-09,22,MIA,20,51,50,231,PG,13,playoffs,20,1,7
1,13,.538,12,2009-10,23,MIA,18,54,40,131,PG,8,playoffs,3,0,5
4,44,.565,28,2010-11,24,MIA,54,163,124,511,PG,36,playoffs,27,1,21
12,90,.522,42,2011-12,25,MIA,92,260,208,819,PG,72,playoffs,28,6,23
10,71,.481,38,2012-13,26,MIA,76,216,183,650,PG,43,playoffs,21,1,23
2,72,.491,30,2013-14,27,MIA,47,128,111,535,PG,44,playoffs,19,6,20
