off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
119,137,.462,127,2007-08,21,ATL,424,1185,918,2765,SF,338,regular,81,33,80
110,81,.502,70,2008-09,22,ATL,285,845,622,2093,SF,272,regular,57,39,61
106,93,.485,72,2009-10,23,ATL,302,820,664,2468,SF,310,regular,66,46,81
68,88,.493,62,2010-11,24,ATL,246,676,537,1865,SF,245,regular,34,23,65
76,71,.494,39,2011-12,25,ATL,203,579,470,1500,SF,218,regular,47,18,57
55,77,.481,60,2012-13,26,UTA,199,529,470,1727,SF,208,regular,37,38,73
82,78,.519,53,2013-14,27,UTA,231,603,526,1674,PF,252,regular,54,31,66
58,100,.520,60,2014-15,28,CHO,210,577,495,2035,PF,328,regular,69,36,78
127,110,.554,62,2015-16,29,CHO,338,948,747,2338,PF,394,regular,58,77,81
89,106,.510,60,2016-17,30,CHO,297,849,704,2295,PF,411,regular,58,53,76
11,5,.414,13,2007-08,21,ATL,24,80,58,199,SF,17,playoffs,2,3,7
3,6,.362,6,2008-09,22,ATL,10,30,29,97,SF,6,playoffs,5,2,6
23,8,.399,5,2009-10,23,ATL,31,92,79,345,SF,40,playoffs,6,5,11
10,6,.420,12,2010-11,24,ATL,22,57,56,216,SF,17,playoffs,9,7,12
5,5,.444,3,2011-12,25,ATL,16,47,45,145,SF,28,playoffs,3,2,6
7,6,.333,2,2015-16,29,CHO,14,36,51,228,PF,41,playoffs,6,3,7
