off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
53,32,.495,39,2007-08,27,SAS,121,326,291,853,PF,139,regular,14,17,68
97,82,.606,37,2008-09,28,SAS,266,667,536,1928,PF,289,regular,47,26,81
52,68,.567,39,2009-10,29,SAS,166,457,372,1161,PF,162,regular,30,24,65
60,60,.605,27,2010-11,30,SAS,172,481,371,1432,PF,179,regular,26,21,66
29,61,.590,14,2011-12,31,SAS,154,429,350,1326,PF,185,regular,15,21,65
25,36,.602,16,2012-13,32,SAS,112,288,230,909,PF,104,regular,17,19,68
16,31,.573,16,2013-14,33,SAS,73,197,164,690,PF,114,regular,15,11,61
29,47,.509,11,2014-15,34,SAS,94,264,230,935,PF,86,regular,10,12,72
3,9,.640,3,2015-16,35,SAS,29,76,57,206,C,24,regular,6,1,30
0,2,.667,0,2007-08,27,SAS,2,4,3,9,PF,2,playoffs,0,0,2
6,0,.283,2,2008-09,28,SAS,5,15,23,100,PF,10,playoffs,3,2,5
7,4,.545,7,2009-10,29,SAS,19,50,44,173,PF,25,playoffs,1,3,10
7,2,.600,1,2010-11,30,SAS,12,38,25,123,PF,12,playoffs,1,1,6
2,9,.438,3,2011-12,31,SAS,10,31,32,165,PF,23,playoffs,2,4,13
9,6,.602,2,2012-13,32,SAS,28,81,59,267,PF,30,playoffs,5,5,20
2,11,.571,2,2013-14,33,SAS,10,27,21,136,PF,12,playoffs,2,1,22
0,1,.300,1,2014-15,34,SAS,2,6,10,36,PF,6,playoffs,0,1,7
