off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
92,81,.555,40,2007-08,29,TOT,262,664,545,1720,SG,126,regular,46,10,75
4,12,.339,0,2007-08,29,LAL,9,31,28,96,SG,5,regular,5,1,7
88,69,.567,40,2007-08,29,ORL,253,633,517,1624,SG,121,regular,41,9,68
88,54,.533,43,2008-09,30,ATL,208,574,482,1840,SF,155,regular,50,10,80
59,48,.518,20,2009-10,31,ATL,175,453,393,1317,SF,95,regular,34,17,79
52,45,.482,33,2010-11,32,TOT,177,461,424,1549,SF,104,regular,34,14,73
23,30,.463,15,2010-11,32,ATL,79,210,201,837,SF,61,regular,16,5,47
29,15,.500,18,2010-11,32,WAS,98,251,223,712,SF,43,regular,18,9,26
8,9,.478,10,2011-12,33,WAS,45,117,112,343,SF,16,regular,14,0,24
7,7,.616,9,2007-08,29,ORL,35,90,69,282,SG,18,playoffs,8,1,10
8,10,.492,4,2008-09,30,ATL,28,68,65,265,SF,8,playoffs,6,3,11
4,2,.338,5,2009-10,31,ATL,11,25,37,148,SF,9,playoffs,9,0,11
