off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
110,83,.490,121,2008-09,20,MIA,452,1123,957,2009,PF,329,regular,41,37,81
123,100,.463,131,2009-10,21,MIA,468,1156,1040,2328,PF,375,regular,80,49,78
118,158,.474,195,2010-11,22,MIN,561,1401,1246,2361,SF,291,regular,54,52,73
39,45,.483,80,2011-12,23,MIN,221,541,497,1087,SF,168,regular,18,19,47
52,111,.434,144,2012-13,24,PHO,310,759,766,1554,SF,230,regular,31,34,75
31,42,.528,57,2013-14,25,MIA,177,436,355,831,SF,141,regular,23,21,55
12,32,.453,37,2014-15,26,MIA,92,212,212,505,PF,77,regular,15,13,24
29,16,.529,24,2015-16,27,HOU,107,255,205,363,PF,69,regular,11,9,20
40,53,.554,66,2016-17,28,MIL,216,528,406,935,PF,153,regular,27,27,56
10,7,.409,11,2008-09,20,MIA,34,85,88,178,PF,41,playoffs,2,7,7
10,3,.459,13,2009-10,21,MIA,22,52,49,135,PF,19,playoffs,4,0,5
2,2,.500,1,2013-14,25,MIA,5,11,10,23,SF,2,playoffs,0,0,4
4,3,.500,7,2015-16,27,HOU,22,52,46,80,PF,17,playoffs,1,0,5
2,1,.425,2,2016-17,28,MIL,7,17,20,48,PF,7,playoffs,1,1,4
