off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
67,49,.525,48,2007-08,25,GSW,170,472,387,1316,SF,175,regular,66,43,66
44,65,.507,56,2008-09,26,ORL,176,510,426,1329,SG,132,regular,31,24,54
39,49,.540,69,2009-10,27,ORL,233,651,539,1687,SF,176,regular,53,31,75
15,33,.508,39,2010-11,28,TOT,143,410,365,1107,SG-SF,111,regular,29,21,57
6,10,.539,14,2010-11,28,ORL,45,127,115,418,SF,44,regular,10,3,19
9,23,.494,25,2010-11,28,PHO,98,283,250,689,SG,67,regular,19,18,38
18,25,.498,33,2011-12,29,BOS,104,289,270,921,SG,112,regular,21,10,42
5,9,.449,16,2012-13,30,TOR,34,100,98,386,SF,31,regular,12,6,19
19,14,.589,22,2008-09,26,ORL,84,252,174,618,SG,43,playoffs,18,13,24
2,10,.613,6,2009-10,27,ORL,35,118,80,282,SF,18,playoffs,9,6,14
12,2,.411,9,2011-12,29,BOS,24,69,73,393,SG,29,playoffs,14,5,20
