off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
51,240,.596,182,2007-08,27,MEM,414,1147,824,2474,SG,416,regular,35,16,70
73,326,.559,145,2008-09,28,MIN,264,722,548,2356,SF,410,regular,30,31,73
55,212,.596,115,2009-10,29,WAS,217,586,433,1805,SG,281,regular,39,12,54
38,51,.507,41,2010-11,30,MIA,81,228,202,838,SG,146,regular,20,2,41
22,42,.562,30,2011-12,31,MIA,91,237,209,752,SG,106,regular,14,6,39
18,99,.591,35,2012-13,32,MIA,100,281,231,900,SF,139,regular,21,4,59
30,130,.602,77,2013-14,33,MEM,213,579,443,1707,SF,177,regular,26,5,82
4,46,.465,23,2014-15,34,CLE,37,109,114,701,SF,87,regular,14,4,52
6,40,.508,17,2015-16,35,DEN,22,63,62,373,SF,47,regular,13,4,47
2,22,.565,13,2016-17,36,DEN,9,28,23,151,SF,36,regular,2,0,20
9,13,.443,8,2010-11,30,MIA,18,47,53,215,SG,40,playoffs,7,1,18
9,17,.561,12,2011-12,31,MIA,40,120,99,368,SG,49,playoffs,9,2,23
3,15,.644,5,2012-13,32,MIA,21,58,45,232,SF,30,playoffs,8,2,17
2,9,.524,5,2013-14,33,MEM,15,51,42,173,SF,24,playoffs,6,0,7
0,0,.900,1,2014-15,34,CLE,3,9,5,65,SF,10,playoffs,1,1,9
