off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
12,2,.238,3,2012-13,24,IND,5,13,21,55,C,10,regular,0,3,14
198,43,.517,111,2013-14,25,PHO,286,646,553,1964,C,428,regular,50,90,80
112,34,.535,51,2014-15,26,TOT,136,294,254,1194,C,208,regular,41,66,73
95,27,.549,45,2014-15,26,PHO,107,233,195,1005,C,179,regular,35,55,54
17,7,.492,6,2014-15,26,MIL,29,61,59,189,C,29,regular,6,11,19
94,16,.601,40,2015-16,27,MIL,140,314,233,870,C,138,regular,21,50,61
38,21,.478,30,2016-17,28,TOT,44,113,92,484,C,57,regular,18,13,45
23,18,.441,22,2016-17,28,MIL,30,82,68,310,C,30,regular,11,9,32
15,3,.583,8,2016-17,28,CHO,14,31,24,174,C,27,regular,7,4,13
3,1,.125,1,2014-15,26,MIL,1,3,8,16,C,3,playoffs,0,1,1
