off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
133,315,.536,173,2007-08,22,GSW,652,1636,1227,3071,SG,271,regular,124,27,81
14,93,.460,67,2008-09,23,GSW,194,474,430,892,SG,94,regular,39,8,25
47,340,.476,244,2009-10,24,GSW,631,1631,1406,2647,SG,210,regular,143,25,64
44,450,.493,252,2010-11,25,GSW,726,1929,1611,3227,SG,237,regular,168,23,80
20,346,.463,177,2011-12,26,TOT,450,1181,1040,2120,SG,180,regular,85,18,58
16,223,.469,123,2011-12,26,GSW,305,811,704,1365,SG,111,regular,56,12,37
4,123,.449,54,2011-12,26,MIL,145,370,336,755,SG,69,regular,29,6,21
45,496,.448,254,2012-13,27,MIL,597,1577,1436,3076,SG,271,regular,169,36,82
38,471,.478,264,2013-14,28,DAL,576,1560,1278,3023,SG,257,regular,141,23,82
34,329,.475,198,2014-15,29,DAL,602,1513,1354,2699,SG,156,regular,148,25,80
42,383,.470,203,2015-16,30,IND,436,1121,1021,2734,SG,229,regular,150,37,81
19,236,.482,135,2016-17,31,IND,247,630,557,1998,SG,185,regular,78,27,74
2,22,.464,14,2012-13,27,MIL,24,57,55,152,SG,11,playoffs,10,1,4
6,20,.457,15,2013-14,28,DAL,52,143,127,249,SG,11,playoffs,9,1,7
4,26,.518,16,2014-15,29,DAL,52,130,111,197,SG,12,playoffs,10,3,5
4,30,.480,17,2015-16,30,IND,33,81,76,225,SG,23,playoffs,15,0,7
1,5,.450,4,2016-17,31,IND,8,22,20,76,SG,7,playoffs,2,1,4
