off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
194,72,.515,101,2007-08,30,TOT,272,639,528,1650,C,300,regular,45,60,82
29,6,.475,11,2007-08,30,DET,28,69,59,228,C,44,regular,7,8,21
165,66,.520,90,2007-08,30,CHA,244,570,469,1422,C,256,regular,38,52,61
35,8,.406,23,2008-09,31,CHA,41,104,101,341,C,44,regular,5,16,39
114,28,.553,53,2009-10,32,CHA,189,459,342,984,C,190,regular,15,43,58
140,23,.522,70,2010-11,33,TOT,234,535,448,1280,C,228,regular,30,56,75
94,17,.502,51,2010-11,33,CHA,159,370,317,851,C,158,regular,14,46,51
46,6,.573,19,2010-11,33,OKC,75,165,131,429,C,70,regular,16,10,24
59,14,.467,26,2011-12,34,OKC,79,171,169,692,C,111,regular,20,37,63
73,26,.367,24,2012-13,35,CHI,66,166,180,693,C,122,regular,21,32,63
66,20,.429,37,2013-14,36,CHI,54,124,126,562,C,109,regular,14,30,80
11,3,.433,7,2014-15,37,CHI,13,27,30,128,C,27,regular,4,5,23
1,0,.600,3,2015-16,38,OKC,3,8,5,19,C,3,regular,0,0,5
5,2,.579,1,2009-10,32,CHA,11,24,19,48,C,3,playoffs,1,2,4
9,0,.412,6,2010-11,33,OKC,14,32,34,148,C,23,playoffs,4,6,14
7,1,.500,2,2011-12,34,OKC,8,18,16,83,C,9,playoffs,0,3,8
14,4,.512,3,2012-13,35,CHI,21,46,41,114,C,18,playoffs,2,7,12
1,0,.000,0,2013-14,36,CHI,0,0,1,5,C,1,playoffs,0,0,2
3,0,.286,0,2014-15,37,CHI,2,4,7,14,C,2,playoffs,0,1,3
1,0,.500,1,2015-16,38,OKC,1,2,2,10,C,2,playoffs,0,1,5
