off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
30,15,.408,21,2007-08,25,DEN,29,85,71,266,PF,57,regular,9,14,16
183,108,.604,147,2008-09,26,DEN,428,1123,709,2510,C,415,regular,95,101,77
166,203,.587,125,2009-10,27,DEN,421,1135,717,2755,C,461,regular,115,82,82
145,149,.615,134,2010-11,28,DEN,402,1091,654,2291,C,426,regular,84,73,75
63,80,.537,96,2011-12,29,TOT,211,535,393,1110,C,228,regular,42,38,39
43,61,.509,77,2011-12,29,DEN,143,376,281,826,C,165,regular,36,25,28
20,19,.607,19,2011-12,29,WAS,68,159,112,284,C,63,regular,6,13,11
101,177,.480,139,2012-13,30,WAS,285,766,594,1659,PF,306,regular,55,37,61
65,153,.504,117,2013-14,31,WAS,299,754,594,1560,PF,229,regular,64,47,53
84,123,.512,124,2014-15,32,WAS,307,737,601,1693,PF,261,regular,66,22,67
52,97,.544,76,2015-16,33,WAS,209,525,384,1094,PF,207,regular,54,26,57
95,65,.621,73,2016-17,34,HOU,245,609,397,1198,C,187,regular,56,39,67
3,1,.556,2,2007-08,25,DEN,5,13,9,30,PF,4,playoffs,2,1,3
37,42,.548,31,2008-09,26,DEN,69,184,126,525,C,83,playoffs,20,10,16
8,11,.621,4,2009-10,27,DEN,18,57,29,169,C,21,playoffs,6,1,5
14,8,.478,8,2010-11,28,DEN,22,71,46,162,C,31,playoffs,5,4,5
8,26,.464,17,2013-14,31,WAS,64,137,138,325,PF,45,playoffs,9,11,10
25,15,.447,14,2014-15,32,WAS,34,79,76,257,PF,41,playoffs,9,3,10
11,5,.706,9,2016-17,34,HOU,36,90,51,161,C,31,playoffs,6,4,9
