off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
21,133,.417,105,2011-12,23,MIA,177,441,450,1260,PG,70,regular,44,2,65
18,164,.462,104,2012-13,24,MIA,179,445,425,1590,PG,112,regular,57,7,80
17,248,.474,127,2013-14,25,MIA,207,527,500,2014,PG,143,regular,77,5,82
13,255,.461,99,2014-15,26,TOT,230,573,558,1831,PG,146,regular,57,15,75
12,165,.430,58,2014-15,26,MIA,118,295,306,1148,PG,96,regular,42,8,47
1,90,.500,41,2014-15,26,NOP,112,278,252,683,PG,50,regular,15,7,28
10,167,.439,75,2015-16,27,NOP,196,477,484,1198,PG,141,regular,37,5,45
0,14,.337,7,2016-17,28,OKC,16,43,52,125,PG,11,regular,8,0,13
1,12,.365,5,2011-12,23,MIA,12,34,37,170,PG,9,playoffs,7,0,19
6,42,.564,23,2012-13,24,MIA,49,129,102,418,PG,33,playoffs,15,2,21
1,36,.506,19,2013-14,25,MIA,32,92,78,404,PG,21,playoffs,9,1,20
1,7,.458,8,2014-15,26,NOP,15,35,36,106,PG,6,playoffs,0,1,4
0,1,.313,2,2016-17,28,OKC,2,5,8,25,PG,1,playoffs,0,1,4
