off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
56,262,.495,226,2008-09,21,MEM,562,1516,1283,3120,SG,252,regular,91,13,82
61,242,.516,176,2009-10,22,MEM,542,1432,1183,3113,SG,250,regular,98,17,82
35,145,.471,99,2010-11,23,MEM,304,803,747,1869,SG,135,regular,73,26,71
30,169,.476,124,2011-12,24,MEM,300,833,736,1771,SG,180,regular,71,23,66
36,361,.519,210,2012-13,25,DAL,461,1255,1026,2913,SG,255,regular,93,23,82
24,113,.484,95,2013-14,26,MIL,224,608,550,1346,SG,100,regular,28,13,52
30,197,.493,128,2014-15,27,MIL,296,806,701,1697,SG,157,regular,57,18,71
13,118,.452,72,2015-16,28,MIL,119,321,321,1090,SG,92,regular,48,8,41
10,31,.463,17,2010-11,23,MEM,52,147,134,362,SG,31,playoffs,11,4,13
2,15,.331,18,2011-12,24,MEM,17,62,62,163,SG,23,playoffs,9,1,7
1,18,.389,9,2014-15,27,MIL,18,54,54,156,SG,19,playoffs,7,1,6
