off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
112,32,.553,64,2010-11,24,CHI,78,229,141,989,C,194,regular,20,56,82
127,32,.506,68,2011-12,25,CHI,79,205,156,971,C,223,regular,30,68,66
275,75,.541,173,2012-13,26,HOU,332,832,614,2464,C,681,regular,46,87,82
101,25,.532,59,2013-14,27,HOU,101,280,190,968,C,277,regular,14,37,48
244,72,.517,95,2014-15,28,NOP,213,557,412,1982,C,504,regular,29,54,76
120,26,.533,60,2015-16,29,NOP,104,269,195,1178,C,294,regular,21,23,68
48,15,.477,14,2016-17,30,NOP,31,85,65,482,C,115,regular,5,10,31
10,1,.462,7,2010-11,24,CHI,6,15,13,148,C,21,playoffs,2,8,15
8,8,.500,8,2011-12,25,CHI,7,20,14,128,C,20,playoffs,1,10,6
21,3,.564,12,2012-13,26,HOU,22,74,39,208,C,46,playoffs,3,10,6
21,4,.485,11,2013-14,27,HOU,16,35,33,163,C,28,playoffs,3,4,6
12,6,.200,5,2014-15,28,NOP,2,8,10,79,C,17,playoffs,5,0,4
