off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
155,211,.536,124,2007-08,27,TOT,475,1246,890,2351,C,398,regular,30,98,66
94,116,.504,80,2007-08,27,MEM,279,738,557,1433,C,248,regular,16,56,39
61,95,.589,44,2007-08,27,LAL,196,508,333,918,C,150,regular,14,42,27
262,284,.567,157,2008-09,28,LAL,592,1528,1045,2999,C,518,regular,52,81,81
243,218,.536,143,2009-10,29,LAL,452,1190,844,2403,C,491,regular,37,113,65
268,273,.530,142,2010-11,30,LAL,593,1541,1120,3037,C,568,regular,48,130,82
183,237,.504,142,2011-12,31,LAL,459,1129,917,2430,PF,495,regular,37,88,65
111,200,.473,104,2012-13,32,LAL,270,673,579,1655,PF,310,regular,24,61,49
124,201,.482,141,2013-14,33,LAL,425,1041,885,1884,C,456,regular,27,92,60
220,210,.500,158,2014-15,34,CHI,570,1446,1153,2681,PF,699,regular,25,147,78
155,294,.481,164,2015-16,35,CHI,467,1187,995,2291,C,638,regular,42,146,72
107,150,.548,81,2016-17,36,SAS,303,792,604,1627,C,394,regular,24,70,64
55,83,.530,44,2007-08,27,LAL,141,354,266,836,C,140,playoffs,11,40,21
68,58,.580,44,2008-09,28,LAL,160,420,276,931,C,181,playoffs,19,45,23
92,81,.539,44,2009-10,29,LAL,165,450,306,913,C,163,playoffs,9,48,23
32,38,.424,17,2010-11,30,LAL,47,131,112,358,C,46,playoffs,4,17,10
38,44,.441,20,2011-12,31,LAL,62,150,143,444,PF,76,playoffs,6,25,12
7,26,.481,13,2012-13,32,LAL,25,56,52,146,PF,39,playoffs,2,3,4
17,31,.487,21,2014-15,34,CHI,56,144,115,317,PF,77,playoffs,5,21,10
39,31,.465,18,2016-17,36,SAS,50,123,114,365,C,75,playoffs,7,15,16
