off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
37,65,.505,70,2010-11,20,IND,179,476,395,1265,SG,187,regular,62,26,61
56,158,.510,117,2011-12,21,IND,281,798,639,1958,SG,314,regular,108,38,66
88,327,.491,233,2012-13,22,IND,493,1377,1176,2972,SF,515,regular,143,51,79
64,283,.490,224,2013-14,23,IND,577,1737,1362,2898,SF,478,regular,151,22,80
4,6,.459,12,2014-15,24,IND,18,53,49,91,SF,18,regular,5,1,6
79,329,.490,265,2015-16,25,IND,605,1874,1449,2819,SF,484,regular,152,29,81
58,251,.534,220,2016-17,26,IND,622,1775,1348,2689,SF,434,regular,119,27,75
5,5,.348,7,2010-11,20,IND,10,30,33,133,SG,20,playoffs,7,10,5
15,26,.447,21,2011-12,21,IND,37,107,95,371,SG,58,playoffs,18,4,11
16,96,.491,75,2012-13,22,IND,119,365,277,780,SF,125,playoffs,25,9,19
13,73,.521,49,2013-14,23,IND,138,429,315,781,SF,132,playoffs,41,7,19
9,30,.528,23,2015-16,25,IND,56,191,123,275,SF,44,playoffs,14,5,7
5,29,.489,13,2016-17,26,IND,34,112,88,172,SF,30,playoffs,7,2,4
