off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
167,81,.504,87,2007-08,22,UTA,253,661,502,1702,PF,293,regular,72,73,82
251,138,.534,129,2008-09,23,UTA,400,1028,749,2290,PF,403,regular,78,73,76
186,131,.538,116,2009-10,24,UTA,385,954,716,2277,PF,373,regular,64,99,82
164,187,.536,145,2010-11,25,UTA,525,1315,988,2605,PF,415,regular,103,69,76
180,150,.499,112,2011-12,26,UTA,426,1061,861,2100,PF,383,regular,118,52,64
177,201,.498,138,2012-13,27,UTA,429,1135,875,2375,PF,377,regular,102,80,78
154,232,.498,185,2013-14,28,ATL,483,1328,1047,2482,PF,473,regular,129,78,74
139,223,.518,166,2014-15,29,ATL,443,1218,930,2390,PF,431,regular,130,69,73
198,265,.505,191,2015-16,30,ATL,501,1385,1066,2647,PF,534,regular,147,139,81
111,252,.481,158,2016-17,31,ATL,430,1246,972,2343,PF,422,regular,90,62,69
23,4,.516,9,2007-08,22,UTA,32,77,62,210,PF,24,playoffs,7,16,12
20,8,.510,6,2008-09,23,UTA,25,59,49,155,PF,20,playoffs,4,5,5
34,22,.574,13,2009-10,24,UTA,70,180,122,323,PF,54,playoffs,11,14,10
17,2,.370,9,2011-12,26,UTA,20,48,54,139,PF,27,playoffs,1,10,4
21,20,.442,20,2013-14,28,ATL,41,136,103,267,PF,55,playoffs,10,13,7
36,55,.443,34,2014-15,29,ATL,85,243,209,566,PF,103,playoffs,25,14,16
28,27,.460,26,2015-16,30,ATL,59,167,137,365,PF,66,playoffs,13,23,10
9,26,.520,23,2016-17,31,ATL,50,146,99,219,PF,47,playoffs,10,4,6
