off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
47,168,.538,65,2007-08,31,PHO,317,889,753,2646,SG,227,regular,54,27,75
41,142,.520,86,2008-09,32,TOT,299,799,684,2315,SG,202,regular,50,8,67
8,29,.554,18,2008-09,32,PHO,76,212,177,712,SG,56,regular,13,2,22
33,113,.509,68,2008-09,32,CHA,223,587,507,1603,SG,146,regular,37,6,45
5,13,.557,5,2009-10,33,TOT,28,71,61,180,SG,18,regular,4,2,6
5,10,.518,5,2009-10,33,CHA,24,60,55,157,SG,16,regular,4,2,5
0,3,.917,0,2009-10,33,GSW,4,11,6,23,SG,2,regular,0,0,1
31,118,.482,63,2010-11,34,UTA,191,541,467,2097,SG,145,regular,56,14,68
6,38,.563,21,2011-12,35,UTA,81,217,174,796,SG,43,regular,13,2,34
6,11,.743,5,2007-08,31,PHO,21,68,37,215,SG,22,playoffs,2,1,5
