off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
78,393,.496,147,2007-08,21,BOS,351,814,713,2306,PG,244,regular,129,13,77
100,659,.514,209,2008-09,22,BOS,383,953,759,2642,PG,316,regular,149,11,80
100,794,.517,246,2009-10,23,BOS,459,1110,904,2963,PG,260,regular,189,11,81
87,760,.482,234,2010-11,24,BOS,318,721,670,2527,PG,210,regular,153,11,68
62,620,.456,193,2011-12,25,BOS,256,630,572,1957,PG,195,regular,95,3,53
43,420,.497,148,2012-13,26,BOS,225,522,465,1423,PG,169,regular,70,9,38
22,294,.440,99,2013-14,27,BOS,141,350,350,998,PG,142,regular,40,2,30
73,538,.447,210,2014-15,28,TOT,275,608,645,2018,PG,300,regular,91,7,68
25,237,.425,75,2014-15,28,BOS,81,182,200,699,PG,140,regular,37,3,22
48,301,.457,135,2014-15,28,DAL,194,426,445,1319,PG,160,regular,54,4,46
77,839,.494,278,2015-16,29,SAC,355,859,782,2537,PG,358,regular,141,10,72
73,461,.453,169,2016-17,30,CHI,229,538,561,1843,PG,282,regular,99,11,69
39,172,.416,47,2007-08,21,BOS,107,266,263,831,PG,68,playoffs,45,8,26
32,137,.430,38,2008-09,22,BOS,93,236,223,577,PG,104,playoffs,35,3,14
38,223,.477,72,2009-10,23,BOS,151,379,326,975,PG,96,playoffs,46,3,24
11,86,.477,33,2010-11,24,BOS,51,126,107,345,PG,38,playoffs,10,0,9
35,227,.482,72,2011-12,25,BOS,141,329,301,810,PG,93,playoffs,45,2,19
1,6,.475,2,2014-15,28,DAL,9,19,20,37,PG,1,playoffs,0,0,2
7,20,.423,4,2016-17,30,CHI,11,23,26,67,PG,10,playoffs,7,1,2
