off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
13,164,.495,79,2007-08,24,MIN,198,510,462,1259,PG,115,regular,36,3,39
34,303,.463,150,2008-09,25,MIN,399,1139,981,2494,SG,180,regular,72,26,70
16,228,.464,94,2009-10,26,WAS,256,704,619,1667,PG,114,regular,33,10,70
13,170,.455,95,2010-11,27,LAC,206,616,531,1551,SG,90,regular,47,21,63
25,146,.496,73,2011-12,28,LAC,256,712,644,1682,SG,113,regular,46,24,65
17,167,.518,92,2012-13,29,UTA,293,882,738,2249,SG,110,regular,66,27,82
36,287,.521,145,2013-14,30,DEN,361,1068,875,2485,SG,196,regular,67,39,81
9,119,.485,60,2014-15,31,DEN,148,435,402,1087,SG,76,regular,34,11,50
24,161,.428,86,2015-16,32,TOT,169,474,482,1642,SG,132,regular,39,29,81
16,112,.426,58,2015-16,32,DEN,117,323,333,1070,SG,89,regular,26,16,54
8,49,.433,28,2015-16,32,OKC,52,151,149,572,SG,43,regular,13,13,27
9,135,.466,80,2016-17,33,BRK,118,357,325,1284,SG,146,regular,35,9,69
4,17,.486,12,2011-12,28,LAC,29,83,74,291,SG,18,playoffs,6,3,11
2,13,.439,11,2015-16,32,OKC,14,40,41,190,SG,18,playoffs,2,3,16
