off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
97,196,.554,140,2007-08,28,ORL,516,1476,1135,3076,PF,340,regular,99,38,81
92,205,.540,158,2008-09,29,ORL,478,1401,1089,2859,PF,361,regular,81,51,79
62,107,.539,108,2009-10,30,ORL,350,1013,805,2369,PF,256,regular,78,28,72
71,92,.508,87,2010-11,31,TOT,252,668,582,1824,SF-PF,219,regular,52,30,57
23,29,.500,35,2010-11,31,ORL,113,304,270,810,PF,83,regular,22,10,25
48,63,.514,52,2010-11,31,WAS,139,364,312,1014,SF,136,regular,30,20,32
34,27,.421,32,2011-12,32,WAS,85,217,221,729,SF,75,regular,23,10,28
19,30,.516,33,2012-13,33,MIA,103,285,249,792,PF,102,regular,21,14,55
24,57,.513,35,2013-14,34,MIA,98,268,236,971,SF,86,regular,53,8,60
24,34,.500,23,2007-08,28,ORL,71,195,163,417,PF,48,playoffs,11,5,10
29,70,.523,50,2008-09,29,ORL,156,455,348,986,PF,124,playoffs,25,13,24
15,32,.559,25,2009-10,30,ORL,66,180,143,512,PF,64,playoffs,15,10,14
1,4,.400,6,2012-13,33,MIA,8,17,20,47,PF,6,playoffs,2,2,11
4,5,.541,5,2013-14,34,MIA,35,95,85,319,SF,33,playoffs,7,6,18
