off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
75,225,.537,127,2007-08,32,BOS,439,1273,986,2624,SG,193,regular,65,16,73
66,218,.575,134,2008-09,33,BOS,499,1434,1040,2876,SG,212,regular,69,13,79
45,210,.551,129,2009-10,34,BOS,464,1304,973,2819,SG,208,regular,64,25,80
51,219,.577,117,2010-11,35,BOS,480,1321,978,2890,SG,223,regular,77,16,80
14,109,.566,68,2011-12,36,BOS,226,655,493,1565,SG,128,regular,49,8,46
40,135,.555,103,2012-13,37,MIA,292,863,651,2035,SG,177,regular,67,15,79
23,143,.549,84,2013-14,38,MIA,240,701,543,1936,SG,182,regular,54,8,73
25,71,.516,38,2007-08,32,BOS,133,405,311,987,SG,73,playoffs,24,8,26
13,37,.488,25,2008-09,33,BOS,83,256,206,565,SG,42,playoffs,15,5,14
12,63,.523,36,2009-10,34,BOS,131,387,304,925,SG,68,playoffs,22,3,24
5,22,.670,10,2010-11,35,BOS,57,170,109,361,SG,29,playoffs,11,1,9
8,18,.479,17,2011-12,36,BOS,66,192,167,616,SG,66,playoffs,17,2,18
13,29,.544,27,2012-13,37,MIA,74,234,172,573,SG,51,playoffs,12,3,23
13,32,.528,24,2013-14,38,MIA,59,185,143,527,SG,54,playoffs,14,4,20
