off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
32,160,.404,78,2007-08,21,DET,153,436,382,1081,PG,97,regular,49,6,57
69,387,.452,173,2008-09,22,DET,401,1058,913,2517,PG,206,regular,78,11,79
67,348,.413,163,2009-10,23,DET,449,1215,1109,2499,PG,214,regular,101,12,73
70,361,.455,155,2010-11,24,DET,363,1082,827,2183,PG,146,regular,76,10,70
38,210,.456,106,2011-12,25,DET,256,812,597,1644,SG,104,regular,44,10,55
43,270,.443,134,2012-13,26,DET,304,876,748,2171,SG,169,regular,51,17,76
39,152,.450,125,2013-14,27,DET,372,1012,853,1950,SG,130,regular,54,10,73
36,219,.477,118,2014-15,28,IND,332,896,754,1874,PG,212,regular,56,10,71
19,142,.436,76,2015-16,29,IND,183,517,443,1275,PG,137,regular,43,8,58
6,84,.412,53,2016-17,30,IND,91,281,244,696,PG,78,regular,16,0,39
11,58,.379,23,2007-08,21,DET,43,139,116,380,PG,21,playoffs,18,2,17
2,21,.393,6,2008-09,22,DET,24,60,61,128,PG,7,playoffs,0,0,4
1,14,.453,6,2015-16,29,IND,17,44,43,125,PG,14,playoffs,4,1,7
