off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
8,78,.495,30,2007-08,24,UTA,88,228,204,588,PG,38,regular,32,3,61
12,108,.426,61,2008-09,25,UTA,77,207,203,738,PG,57,regular,39,5,52
28,123,.442,56,2009-10,26,UTA,98,255,242,806,PG,46,regular,40,13,60
22,56,.400,55,2010-11,27,UTA,74,197,210,717,SG,39,regular,42,5,59
18,67,.427,46,2011-12,28,PHO,49,131,130,517,PG,38,regular,34,3,36
13,73,.367,34,2012-13,29,POR,39,105,120,510,PG,31,regular,26,3,39
8,66,.353,26,2013-14,30,ORL,28,74,92,377,SG,35,regular,25,2,31
19,165,.415,52,2014-15,31,LAL,77,221,223,982,PG,50,regular,67,4,43
25,147,.497,70,2015-16,32,PHO,116,331,302,1211,PG,74,regular,74,13,62
3,18,.229,3,2016-17,33,PHO,4,14,24,134,PG,8,regular,11,1,14
1,11,.371,6,2007-08,24,UTA,10,33,31,68,PG,3,playoffs,6,2,12
3,5,.300,0,2008-09,25,UTA,3,8,10,16,PG,0,playoffs,1,0,2
5,14,.333,2,2009-10,26,UTA,7,20,24,90,PG,5,playoffs,4,1,10
