off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
38,160,.440,75,2007-08,26,MIL,149,418,378,1437,PG,80,regular,45,7,75
19,43,.425,23,2008-09,27,PHI,69,211,208,861,SG,57,regular,36,7,71
6,27,.506,11,2009-10,28,TOT,35,93,83,326,SG,28,regular,19,2,44
5,17,.582,5,2009-10,28,PHI,26,70,55,236,SG,21,regular,10,2,26
1,10,.357,6,2009-10,28,MIL,9,23,28,90,SG,7,regular,9,0,18
2,7,.513,5,2010-11,29,OKC,16,41,38,155,SG,14,regular,6,1,25
1,10,.479,9,2011-12,30,OKC,26,71,73,354,SG,23,regular,14,0,34
16,32,.559,20,2012-13,31,PHI,62,170,144,698,SG,41,regular,23,3,53
0,0,.000,0,2013-14,32,OKC,0,0,2,5,SG,1,regular,0,0,2
1,0,.364,0,2008-09,27,PHI,3,11,11,45,SG,3,playoffs,3,0,6
0,2,.333,1,2009-10,28,MIL,2,4,6,11,SG,0,playoffs,0,1,3
0,1,1.500,0,2010-11,29,OKC,2,6,2,6,SG,1,playoffs,0,0,2
1,1,.455,1,2011-12,30,OKC,4,11,11,21,SG,2,playoffs,2,0,5
