off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
140,158,.511,190,2007-08,21,MEM,625,1632,1355,3000,SF,359,regular,111,79,81
109,135,.487,203,2008-09,22,MEM,572,1493,1262,2945,SF,328,regular,98,59,79
115,153,.491,169,2009-10,23,MEM,600,1567,1288,3175,SF,357,regular,118,64,80
82,153,.503,135,2010-11,24,MEM,409,1069,869,2152,SF,254,regular,91,58,54
130,147,.480,161,2011-12,25,MEM,485,1232,1067,2422,SF,287,regular,95,55,65
99,202,.449,198,2012-13,26,TOT,521,1366,1253,2687,SF,362,regular,113,53,75
56,108,.438,104,2012-13,26,MEM,281,723,688,1541,SF,193,regular,56,31,42
43,94,.464,94,2012-13,26,TOR,240,643,565,1146,SF,169,regular,57,22,33
113,209,.483,224,2013-14,27,TOT,537,1457,1179,2531,SF,324,regular,95,56,73
29,40,.421,59,2013-14,27,TOR,130,350,335,639,SF,104,regular,28,23,18
84,169,.508,165,2013-14,27,SAC,407,1107,844,1892,SF,220,regular,67,33,55
98,250,.491,183,2014-15,28,SAC,508,1432,1116,2408,SF,301,regular,71,41,68
103,120,.500,139,2015-16,29,SAC,466,1204,1007,2379,SF,353,regular,100,51,70
35,83,.502,74,2016-17,30,SAC,201,562,442,1013,SF,155,regular,44,26,30
10,10,.439,21,2011-12,25,MEM,48,133,114,279,SF,36,playoffs,9,2,7
