off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
178,435,.414,274,2008-09,20,OKC,436,1256,1095,2668,PG,221,regular,110,16,82
143,652,.428,268,2009-10,21,OKC,485,1322,1160,2813,PG,258,regular,108,34,82
121,670,.454,316,2010-11,22,OKC,614,1793,1390,2847,PG,258,regular,155,30,82
96,362,.481,239,2011-12,23,OKC,578,1558,1266,2331,PG,205,regular,112,21,66
111,607,.470,273,2012-13,24,OKC,673,1903,1535,2861,PG,317,regular,145,24,82
55,319,.480,177,2013-14,25,OKC,346,1002,791,1412,PG,208,regular,88,7,46
124,574,.455,293,2014-15,26,OKC,627,1886,1471,2302,PG,364,regular,140,14,67
145,834,.489,342,2015-16,27,OKC,656,1878,1444,2750,PG,481,regular,163,20,80
137,840,.476,438,2016-17,28,OKC,824,2558,1941,2802,PG,727,regular,132,31,81
10,36,.500,14,2009-10,21,OKC,43,123,91,212,PG,26,playoffs,10,1,6
36,108,.414,78,2010-11,22,OKC,135,405,343,638,PG,55,playoffs,24,6,17
22,117,.457,45,2011-12,23,OKC,177,461,407,767,PG,87,playoffs,31,8,20
1,14,.439,8,2012-13,24,OKC,17,48,41,68,PG,12,playoffs,6,0,2
45,153,.455,83,2013-14,25,OKC,167,507,398,735,PG,93,playoffs,41,6,19
41,198,.448,78,2015-16,27,OKC,159,468,393,674,PG,83,playoffs,46,2,18
9,54,.431,30,2016-17,28,OKC,59,187,152,194,PG,49,playoffs,12,2,5
