off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
53,14,.489,25,2007-08,23,CHA,46,147,94,532,PF,54,regular,10,30,60
46,7,.532,24,2008-09,24,TOT,50,143,94,444,C,51,regular,7,32,45
19,4,.543,10,2008-09,24,CHA,19,64,35,184,C,17,regular,3,17,18
27,3,.525,14,2008-09,24,DAL,31,79,59,260,C,34,regular,4,15,27
79,51,.558,95,2009-10,25,MIN,169,447,303,1223,C,128,regular,19,38,73
70,26,.598,67,2010-11,26,CLE,131,373,219,1182,C,116,regular,22,42,70
34,9,.548,35,2011-12,27,TOT,46,131,84,522,C,48,regular,5,17,39
25,6,.500,24,2011-12,27,CLE,28,89,56,362,C,31,regular,4,12,24
9,3,.643,11,2011-12,27,BOS,18,42,28,160,C,17,regular,1,5,15
50,11,.614,44,2012-13,28,LAC,70,206,114,663,C,89,regular,6,34,60
31,8,.736,29,2013-14,29,LAC,53,141,72,482,PF,59,regular,9,31,61
36,14,.646,25,2014-15,30,SAC,53,137,82,441,C,67,regular,6,19,46
47,10,.620,24,2015-16,31,TOT,49,124,79,460,C,51,regular,6,21,37
7,0,.571,3,2015-16,31,WAS,4,8,7,48,C,4,regular,0,1,5
40,10,.625,21,2015-16,31,MEM,45,116,72,412,C,47,regular,6,20,32
9,1,.571,4,2008-09,24,DAL,8,22,14,84,C,15,playoffs,1,4,9
16,8,.423,7,2011-12,27,BOS,11,26,26,170,C,11,playoffs,0,8,17
3,2,.556,2,2012-13,28,LAC,5,11,9,37,C,2,playoffs,0,2,5
1,0,.250,1,2013-14,29,LAC,1,3,4,9,PF,2,playoffs,0,0,5
