off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
304,45,.513,155,2007-08,26,PHI,339,864,661,2724,C,545,regular,40,192,82
214,18,.498,117,2008-09,27,PHI,216,523,434,2036,C,487,regular,33,146,82
239,64,.545,123,2009-10,28,PHI,285,667,523,2124,C,545,regular,42,151,82
212,67,.473,132,2010-11,29,SAC,268,644,567,1938,C,445,regular,36,116,80
158,33,.506,82,2011-12,30,HOU,200,490,395,1446,C,298,regular,37,111,65
105,21,.543,51,2012-13,31,MIL,137,313,253,765,C,171,regular,17,53,47
200,38,.568,90,2013-14,32,DAL,214,529,377,1614,C,341,regular,41,94,80
53,29,.438,39,2014-15,33,NYK,57,128,130,544,C,115,regular,14,41,32
20,3,.422,10,2007-08,26,PHI,19,54,45,193,C,37,playoffs,2,10,6
10,3,.640,6,2008-09,27,PHI,16,35,25,133,C,37,playoffs,2,9,6
1,0,.000,2,2012-13,31,MIL,0,1,2,9,C,2,playoffs,1,0,1
23,0,.458,4,2013-14,32,DAL,11,32,24,135,C,36,playoffs,2,10,7
