off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
16,355,.430,111,2007-08,22,MIN,223,556,556,1933,PG,119,regular,59,11,60
32,343,.435,146,2008-09,23,MIN,267,738,697,2095,PG,95,regular,73,12,75
5,126,.445,50,2009-10,24,TOT,83,208,201,659,PG,40,regular,24,5,43
5,114,.437,44,2009-10,24,LAC,67,169,166,582,PG,36,regular,22,5,39
0,12,.486,6,2009-10,24,CLE,16,39,35,77,PG,4,regular,2,0,4
17,111,.461,64,2010-11,25,MIN,97,266,241,711,PG,37,regular,25,3,37
20,138,.461,68,2011-12,26,PHO,141,368,342,895,PG,71,regular,41,12,60
13,153,.448,64,2012-13,27,TOT,112,331,309,980,PG,71,regular,37,11,59
12,114,.468,53,2012-13,27,PHO,94,275,247,795,PG,56,regular,28,10,46
1,39,.371,11,2012-13,27,TOR,18,56,62,185,PG,15,regular,9,1,13
2,45,.440,18,2014-15,29,OKC,46,134,125,327,PG,28,regular,10,0,16
