off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
3,20,.517,9,2008-09,23,TOT,31,71,60,231,PG,25,regular,7,2,12
0,4,.375,3,2008-09,23,MIA,3,9,8,41,PG,2,regular,2,0,4
3,16,.538,6,2008-09,23,OKC,28,62,52,190,PG,23,regular,5,2,8
16,130,.517,58,2009-10,24,TOT,104,250,201,796,PG,62,regular,17,11,36
4,14,.313,8,2009-10,24,OKC,5,10,16,130,PG,16,regular,5,2,10
12,116,.535,50,2009-10,24,WAS,99,240,185,666,PG,46,regular,12,9,26
29,164,.467,88,2010-11,25,CHA,185,479,397,1261,PG,120,regular,47,29,73
39,122,.472,66,2011-12,26,MIL,127,318,271,1092,SG,84,regular,27,20,58
31,215,.480,76,2012-13,27,TOT,166,417,346,1455,PG,127,regular,48,31,66
2,38,.364,17,2012-13,27,WAS,24,63,66,320,PG,35,regular,11,2,17
29,177,.507,59,2012-13,27,CLE,142,354,280,1135,PG,92,regular,37,29,49
67,245,.484,105,2013-14,28,BRK,235,629,487,1974,PG,179,regular,93,31,76
43,259,.500,102,2014-15,29,GSW,198,461,396,1468,PG,140,regular,49,20,78
42,237,.538,78,2015-16,30,GSW,203,488,379,1520,PG,127,regular,57,27,78
28,139,.549,62,2016-17,31,GSW,173,389,316,1345,PG,123,regular,38,20,76
8,40,.517,22,2013-14,28,BRK,44,116,86,325,PG,34,playoffs,5,5,12
13,38,.532,21,2014-15,29,GSW,42,105,79,375,PG,38,playoffs,8,5,21
13,80,.488,29,2015-16,30,GSW,82,196,168,514,PG,63,playoffs,12,5,24
10,20,.576,10,2016-17,31,GSW,34,73,59,220,PG,19,playoffs,5,2,14
