off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
9,3,.286,2,2007-08,24,PHI,4,8,14,27,PF,2,regular,1,3,9
10,0,.654,6,2008-09,25,POR,8,18,13,37,PF,8,regular,0,1,10
7,1,.333,3,2009-10,26,TOT,6,14,18,53,PF,7,regular,1,1,6
7,0,.333,2,2009-10,26,MIA,5,10,15,47,PF,6,regular,1,1,3
0,1,.333,1,2009-10,26,POR,1,4,3,6,PF,1,regular,0,0,3
28,4,.583,10,2012-13,29,BOS,28,67,48,198,PF,42,regular,8,7,16
7,1,.500,5,2013-14,30,PHO,7,20,14,95,PF,18,regular,3,1,14
16,4,.257,3,2014-15,31,TOT,9,24,35,126,PF,22,regular,5,3,21
12,3,.240,2,2014-15,31,PHO,6,17,25,101,PF,14,regular,4,2,16
4,1,.300,1,2014-15,31,BOS,3,7,10,25,PF,8,regular,1,1,5
0,0,.000,0,2007-08,24,PHI,0,3,1,4,PF,0,playoffs,0,0,2
0,0,,0,2012-13,29,BOS,0,0,0,3,PF,3,playoffs,0,0,1
