off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
136,138,.550,86,2007-08,29,TOT,400,972,787,2315,PF,507,regular,125,85,63
86,98,.576,49,2007-08,29,PHO,304,743,578,1713,PF,378,regular,95,70,47
50,40,.478,37,2007-08,29,MIA,96,229,209,602,PF,129,regular,30,15,16
180,139,.491,105,2008-09,30,TOT,382,891,788,2470,SF,409,regular,88,66,69
107,77,.491,56,2008-09,30,MIA,215,505,446,1516,SF,258,regular,57,45,42
73,62,.491,49,2008-09,30,TOR,167,386,342,954,SF,151,regular,31,21,27
158,107,.510,99,2009-10,31,DAL,395,898,778,2385,SF,319,regular,69,61,75
168,110,.523,130,2010-11,32,DAL,434,999,834,2253,SF,383,regular,68,50,80
145,132,.461,98,2011-12,33,DAL,288,670,646,1919,SF,320,regular,67,36,63
146,163,.531,103,2012-13,34,DAL,355,812,690,2010,PF,379,regular,75,47,67
132,124,.523,95,2013-14,35,DAL,341,791,708,2409,SF,365,regular,90,37,76
64,51,.468,33,2014-15,36,CLE,119,276,267,1101,SF,138,regular,27,27,57
7,6,.407,8,2009-10,31,DAL,24,52,59,148,SF,18,playoffs,1,3,6
46,45,.467,36,2010-11,32,DAL,105,250,225,690,SF,87,playoffs,21,19,21
9,4,.475,10,2011-12,33,DAL,17,47,40,140,SF,23,playoffs,1,5,4
14,13,.441,5,2013-14,35,DAL,24,59,59,193,SF,23,playoffs,6,1,7
2,1,.167,0,2014-15,36,CLE,1,2,6,25,SF,4,playoffs,2,0,6
