off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
19,0,.400,11,2007-08,23,ATL,12,35,30,145,PF,23,regular,3,5,35
52,15,.608,27,2008-09,24,ATL,67,188,111,675,C,90,regular,7,34,63
51,32,.443,40,2009-10,25,IND,78,207,176,675,C,93,regular,14,37,52
45,30,.405,35,2010-11,26,IND,49,139,121,528,C,68,regular,12,22,39
32,9,.393,18,2011-12,27,TOT,24,67,61,292,C-PF,26,regular,9,11,21
11,2,.125,5,2011-12,27,LAC,1,6,8,96,PF,6,regular,4,5,10
21,7,.434,13,2011-12,27,NOH,23,61,53,196,C,20,regular,5,6,11
1,0,.000,3,2012-13,28,NYK,0,0,1,26,PF,2,regular,0,1,2
8,2,.353,2,2013-14,29,ORL,6,14,17,85,PF,8,regular,2,2,11
4,1,.200,0,2007-08,23,ATL,2,4,10,29,PF,4,playoffs,1,3,7
9,2,.500,1,2008-09,24,ATL,6,14,12,77,C,7,playoffs,1,0,9
