off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
4,6,.647,4,2007-08,24,HOU,49,135,102,264,SF,31,regular,2,3,35
19,40,.595,23,2008-09,25,LAC,176,492,396,1161,PF,106,regular,20,5,71
1,6,.491,2,2009-10,26,LAC,42,113,108,362,SF,32,regular,7,2,54
4,3,.716,4,2010-11,27,TOT,35,104,67,215,SF,24,regular,1,5,30
0,0,.688,0,2010-11,27,DAL,4,11,8,18,SF,5,regular,0,0,7
4,3,.720,4,2010-11,27,SAS,31,93,59,197,SF,19,regular,1,5,23
9,12,.675,21,2011-12,28,NYK,161,477,337,1020,PF,95,regular,16,9,54
17,35,.587,12,2012-13,29,NYK,178,535,430,1641,SF,135,regular,28,8,81
8,13,.589,5,2013-14,30,TOR,60,178,146,540,PF,50,regular,12,4,54
2,11,.563,5,2014-15,31,TOT,22,63,56,197,SF-PF,20,regular,0,2,35
1,6,.686,3,2014-15,31,UTA,16,48,35,109,SF,15,regular,0,1,22
1,5,.357,2,2014-15,31,OKC,6,15,21,88,PF,5,regular,0,1,13
0,0,.639,1,2015-16,32,TOT,8,24,18,44,PF,5,regular,0,0,10
0,0,.708,1,2015-16,32,OKC,6,17,12,24,PF,4,regular,0,0,7
0,0,.500,0,2015-16,32,MIL,2,7,6,20,PF,1,regular,0,0,3
0,0,.357,0,2016-17,33,MIL,2,5,7,22,PF,3,regular,0,0,8
1,0,1.000,0,2007-08,24,HOU,3,8,4,21,SF,1,playoffs,0,1,3
0,0,,0,2010-11,27,SAS,0,0,0,6,SF,1,playoffs,0,0,1
3,0,.667,3,2011-12,28,NYK,4,12,9,95,PF,12,playoffs,0,1,5
2,0,.692,0,2012-13,29,NYK,7,18,13,50,SF,2,playoffs,1,0,9
0,1,.000,0,2013-14,30,TOR,0,0,3,15,PF,5,playoffs,0,0,4
