off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
226,70,.494,114,2009-10,24,CHI,311,735,629,2204,PF,385,regular,50,104,82
162,58,.467,71,2010-11,25,CHI,234,569,502,1742,PF,296,regular,39,106,80
135,47,.495,60,2011-12,26,CHI,200,484,404,1284,PF,197,regular,27,81,63
125,61,.485,76,2012-13,27,CHI,214,517,441,1459,PF,220,regular,27,90,65
200,91,.479,150,2013-14,28,CHI,429,1069,896,2351,PF,358,regular,41,112,82
162,71,.502,77,2014-15,29,CHI,254,640,506,1692,PF,234,regular,36,75,62
206,106,.526,78,2015-16,30,CHI,263,627,500,1936,PF,298,regular,47,77,73
158,73,.517,105,2016-17,31,TOT,365,846,709,1989,PF,327,regular,41,65,78
120,60,.523,77,2016-17,31,CHI,276,639,530,1502,PF,262,regular,27,50,55
38,13,.500,28,2016-17,31,OKC,89,207,179,487,PF,65,regular,14,15,23
9,3,.421,2,2009-10,24,CHI,16,38,38,145,PF,26,playoffs,1,3,5
26,9,.566,14,2010-11,25,CHI,43,95,76,284,PF,40,playoffs,5,22,16
15,4,.457,3,2011-12,26,CHI,21,57,46,137,PF,24,playoffs,4,10,6
15,4,.470,9,2012-13,27,CHI,31,78,66,206,PF,21,playoffs,4,6,12
21,2,.561,8,2013-14,28,CHI,32,91,57,154,PF,10,playoffs,2,12,5
25,12,.472,11,2014-15,29,CHI,34,89,72,276,PF,41,playoffs,4,12,12
3,3,.600,8,2016-17,31,OKC,21,49,35,118,PF,15,playoffs,1,0,5
