off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
120,58,.545,64,2007-08,19,PHI,264,610,490,1554,PF,192,regular,73,8,74
139,86,.524,118,2008-09,20,PHI,475,1145,960,2580,PF,238,regular,100,23,75
130,97,.499,126,2009-10,21,PHI,382,926,813,2145,PF,220,regular,81,15,67
153,82,.544,99,2010-11,22,PHI,458,1045,847,2135,PF,281,regular,90,26,82
137,74,.507,55,2011-12,23,PHI,348,808,687,1755,PF,188,regular,64,41,63
182,125,.532,90,2012-13,24,PHI,509,1127,958,2629,PF,389,regular,133,55,76
166,182,.489,165,2013-14,25,PHI,582,1417,1283,2718,PF,310,regular,167,36,79
127,173,.486,117,2014-15,26,TOT,451,1071,968,2434,PF,284,regular,124,25,76
75,135,.466,75,2014-15,26,MIN,289,685,641,1605,PF,170,regular,86,17,48
52,38,.524,42,2014-15,26,BRK,162,386,327,829,PF,114,regular,38,8,28
176,135,.518,136,2015-16,27,BRK,495,1102,963,2407,PF,484,regular,112,37,73
131,122,.560,95,2016-17,28,IND,362,814,687,2237,PF,317,regular,113,29,74
15,4,.490,4,2007-08,19,PHI,24,61,50,160,PF,12,playoffs,7,0,6
9,8,.479,8,2008-09,20,PHI,31,72,70,229,PF,18,playoffs,6,1,6
17,4,.417,7,2010-11,22,PHI,25,57,60,127,PF,12,playoffs,4,1,5
25,15,.429,15,2011-12,23,PHI,39,100,91,277,PF,43,playoffs,7,7,13
17,16,.439,14,2014-15,26,BRK,29,63,66,190,PF,26,playoffs,5,1,6
22,10,.551,6,2016-17,28,IND,21,48,39,140,PF,14,playoffs,8,1,4
