off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
122,46,.430,88,2012-13,21,TOT,138,333,321,1056,PF,193,regular,41,26,70
92,36,.424,65,2012-13,21,SAC,103,247,243,809,PF,146,regular,25,21,51
30,10,.449,23,2012-13,21,HOU,35,86,78,247,PF,47,regular,16,5,19
105,34,.481,57,2013-14,22,POR,141,339,293,873,PF,202,regular,23,20,70
95,33,.485,59,2014-15,23,TOT,126,308,260,798,PF,208,regular,32,20,54
33,9,.516,33,2014-15,23,POR,47,115,91,391,PF,100,regular,16,11,32
62,24,.467,26,2014-15,23,PHI,79,193,169,407,PF,108,regular,16,9,22
136,46,.447,69,2015-16,24,BRK,130,307,291,917,PF,223,regular,39,36,71
84,31,.536,46,2016-17,25,LAL,105,241,196,560,PF,139,regular,26,9,48
10,6,.419,5,2013-14,22,POR,13,32,31,122,PF,18,playoffs,5,5,11
