off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
237,218,.497,178,2007-08,31,SAS,585,1508,1178,2651,C,644,regular,56,152,78
201,264,.504,165,2008-09,32,SAS,558,1450,1107,2524,C,599,regular,38,126,75
221,246,.519,140,2009-10,33,SAS,561,1395,1082,2438,C,567,regular,45,117,78
169,203,.500,122,2010-11,34,SAS,419,1022,838,2156,C,509,regular,50,146,76
110,132,.492,97,2011-12,35,SAS,361,895,733,1634,C,410,regular,38,88,58
124,184,.503,147,2012-13,36,SAS,490,1227,976,2078,C,562,regular,50,183,69
158,220,.490,159,2013-14,37,SAS,444,1119,906,2158,C,563,regular,43,139,74
170,230,.513,131,2014-15,38,SAS,419,1070,819,2227,C,534,regular,63,151,77
115,163,.488,90,2015-16,39,SAS,215,522,441,1536,C,332,regular,47,78,61
61,56,.450,41,2007-08,31,SAS,135,343,301,666,C,186,playoffs,15,35,17
12,16,.532,7,2008-09,32,SAS,41,99,77,164,C,28,playoffs,3,6,5
30,26,.523,24,2009-10,33,SAS,78,190,150,373,C,69,playoffs,8,17,10
16,16,.478,18,2010-11,34,SAS,33,76,69,212,C,47,playoffs,3,15,6
32,39,.495,21,2011-12,35,SAS,101,243,204,463,C,99,playoffs,10,29,14
54,40,.470,42,2012-13,36,SAS,151,381,321,735,C,160,playoffs,18,34,21
65,45,.523,26,2013-14,37,SAS,149,374,285,752,C,146,playoffs,7,29,23
19,23,.589,7,2014-15,38,SAS,53,125,90,250,C,59,playoffs,9,10,7
10,14,.423,10,2015-16,39,SAS,22,59,52,218,C,38,playoffs,2,13,10
