off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
30,411,.502,164,2007-08,25,SAS,515,1295,1043,2312,PG,191,regular,55,8,69
27,496,.513,186,2008-09,26,SAS,639,1581,1263,2456,PG,196,regular,67,4,72
7,317,.494,149,2009-10,27,SAS,349,894,716,1728,PG,128,regular,29,8,56
30,513,.531,200,2010-11,28,SAS,555,1368,1069,2528,PG,208,regular,90,3,78
22,463,.488,153,2011-12,29,SAS,427,1095,890,1923,PG,149,regular,57,5,60
18,499,.534,170,2012-13,30,SAS,519,1341,995,2174,PG,180,regular,54,6,66
17,388,.513,151,2013-14,31,SAS,456,1134,914,1997,PG,138,regular,36,9,68
15,335,.508,146,2014-15,32,SAS,404,976,832,1953,PG,114,regular,44,2,68
17,379,.512,131,2015-16,33,SAS,350,857,710,1980,PG,159,regular,54,11,72
9,285,.486,89,2016-17,34,SAS,265,638,569,1587,PG,104,regular,34,2,63
10,103,.508,50,2007-08,25,SAS,152,381,306,654,PG,53,playoffs,16,1,17
1,34,.560,21,2008-09,26,SAS,59,143,108,181,PG,20,playoffs,6,1,5
9,54,.481,22,2009-10,27,SAS,73,173,154,335,PG,29,playoffs,6,0,10
1,31,.468,20,2010-11,28,SAS,43,118,93,221,PG,15,playoffs,8,2,6
8,95,.469,44,2011-12,29,SAS,102,282,225,506,PG,42,playoffs,13,0,14
14,146,.473,53,2012-13,30,SAS,167,432,365,765,PG,54,playoffs,24,3,21
5,111,.504,62,2013-14,31,SAS,168,400,346,719,PG,40,playoffs,15,2,23
4,25,.363,11,2014-15,32,SAS,33,76,91,210,PG,19,playoffs,2,0,7
1,53,.469,18,2015-16,33,SAS,44,104,98,264,PG,21,playoffs,6,2,10
2,25,.582,12,2016-17,34,SAS,51,127,97,211,PG,18,playoffs,4,0,8
