off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
96,106,.453,107,2007-08,23,POR,417,1092,964,2186,PF,280,regular,59,63,82
70,83,.505,94,2008-09,24,POR,385,1034,850,2246,SF,261,regular,47,57,81
33,34,.463,32,2009-10,25,TOT,110,309,281,730,SF,88,regular,18,17,34
13,8,.436,12,2009-10,25,POR,38,109,101,231,SF,25,regular,7,8,11
20,26,.478,20,2009-10,25,LAC,72,200,180,499,SF,63,regular,11,9,23
54,84,.427,71,2010-11,26,NJN,274,756,731,2358,SF,271,regular,34,36,82
19,16,.389,20,2011-12,27,SAC,60,167,175,500,SF,42,regular,19,21,39
17,21,.458,19,2012-13,28,SAC,74,200,177,444,SF,44,regular,11,8,38
36,48,.462,26,2013-14,29,SAC,130,343,326,1065,SF,132,regular,20,19,63
2,3,.348,5,2008-09,24,POR,21,54,66,170,SF,16,playoffs,5,4,6
