off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
60,28,.360,21,2009-10,24,IND,81,246,225,511,PF,78,regular,17,8,29
145,41,.465,76,2010-11,25,IND,285,767,613,1535,PF,221,regular,37,15,70
113,30,.405,65,2011-12,26,IND,194,614,479,1442,PF,177,regular,54,9,66
161,36,.432,78,2012-13,27,IND,176,568,407,1366,PF,212,regular,29,18,81
120,17,.474,47,2013-14,28,TOR,93,312,196,978,PF,167,regular,28,19,64
106,21,.524,20,2014-15,29,TOR,86,270,165,1058,PF,159,regular,30,15,74
40,8,.465,12,2015-16,30,CHO,32,104,71,343,PF,49,regular,12,7,44
13,5,.333,9,2010-11,25,IND,20,56,60,164,PF,14,playoffs,6,0,5
12,6,.340,8,2011-12,26,IND,17,48,50,164,PF,23,playoffs,5,3,11
36,5,.419,15,2012-13,27,IND,26,78,62,241,PF,25,playoffs,6,0,19
2,1,.333,2,2013-14,28,TOR,1,7,3,29,PF,4,playoffs,0,0,3
1,3,.200,2,2014-15,29,TOR,1,5,5,48,PF,5,playoffs,2,1,4
0,0,,0,2015-16,30,CHO,0,0,0,6,PF,0,playoffs,0,0,2
