off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
322,81,.623,136,2007-08,25,NOH,377,929,605,2783,C,606,regular,45,84,79
163,22,.565,70,2008-09,26,NOH,160,397,283,1445,C,230,regular,15,56,45
114,16,.574,91,2009-10,27,CHA,109,333,190,1163,C,206,regular,17,55,51
206,32,.654,88,2010-11,28,DAL,266,748,407,2059,C,486,regular,36,80,74
212,56,.679,102,2011-12,29,NYK,241,699,355,2061,C,400,regular,56,89,62
269,62,.638,87,2012-13,30,NYK,255,689,400,2164,C,434,regular,42,75,66
159,59,.593,71,2013-14,31,NYK,191,480,322,1662,C,370,regular,36,63,55
294,84,.666,105,2014-15,32,DAL,293,771,440,2286,C,570,regular,42,91,75
175,64,.583,93,2015-16,33,PHO,183,472,314,1618,C,401,regular,36,44,66
153,30,.671,65,2016-17,34,PHO,153,397,228,1298,C,386,regular,33,24,47
45,5,.632,10,2007-08,25,NOH,43,96,68,412,C,78,playoffs,5,20,12
8,2,.500,8,2008-09,26,NOH,6,15,12,94,C,13,playoffs,2,1,4
3,2,.545,4,2009-10,27,CHA,6,14,11,60,C,7,playoffs,2,3,4
79,8,.582,14,2010-11,28,DAL,57,167,98,680,C,114,playoffs,13,19,21
18,4,.440,15,2011-12,29,NYK,11,31,25,167,C,27,playoffs,7,7,5
40,4,.538,11,2012-13,30,NYK,28,68,52,350,C,48,playoffs,8,14,12
27,1,.655,5,2014-15,32,DAL,19,51,29,160,C,27,playoffs,3,6,5
