off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
32,151,.465,109,2007-08,26,PHI,379,921,870,1970,SG,150,regular,54,22,74
29,158,.473,64,2008-09,27,PHI,286,685,658,1828,SG,97,regular,53,13,81
20,152,.500,67,2009-10,28,PHI,248,638,543,1553,SG,109,regular,32,11,73
22,74,.488,67,2010-11,29,NOH,270,672,609,1674,SG,139,regular,36,13,77
15,40,.548,33,2011-12,30,ATL,153,404,325,922,SG,65,regular,23,6,53
17,55,.553,31,2012-13,31,LAC,178,450,386,1188,SG,80,regular,29,12,72
12,50,.452,34,2013-14,32,LAC,102,273,271,869,SG,66,regular,22,11,55
14,68,.454,48,2014-15,33,ORL,118,306,306,951,SG,65,regular,26,5,52
2,12,.441,9,2007-08,26,PHI,22,54,51,142,SG,6,playoffs,5,4,6
0,7,.451,5,2008-09,27,PHI,21,47,51,148,SG,6,playoffs,0,1,6
1,4,.417,3,2010-11,29,NOH,14,34,36,84,SG,4,playoffs,2,0,6
1,3,.500,2,2011-12,30,ATL,6,13,13,63,SG,7,playoffs,0,0,5
0,2,.667,0,2012-13,31,LAC,2,6,3,20,SG,3,playoffs,1,0,3
0,1,.300,1,2013-14,32,LAC,1,5,5,19,SG,7,playoffs,3,0,5
